gene,logFC_A,logFC_TO,pi_A,pi_TO,pi_int,sig_cat,reversed,quadrant
MMP24OS,0.425523780719779,-0.218027611049674,0.4603310709073318,0.7697151906421514,0.99421373122305,NS,TRUE,Q2
ESYT2,-0.235506392094074,0.102540595579853,0.6311867120626293,0.8944541985683451,0.995149024614308,NS,TRUE,Q4
ILVBL,-0.256153676816922,-0.125783947489904,0.6849563733754097,0.9075770604007198,0.7798108455228242,NS,FALSE,Q3
FSD2,-0.618192073375447,0.130964047157995,0.0037757084071437,0.8461672168894895,0.9342749516175622,Sig Young only,TRUE,Q4
TARS3,0.0618477197098244,-0.0371183152361443,0.9847618292062448,0.9910852335292772,0.9960062064290636,NS,TRUE,Q2
VWA8,0.664118898192683,-0.290348576474081,0.08504415268866876,0.4635146385038192,0.6986372884021401,NS,TRUE,Q2
CARNS1,-0.380568342580787,0.453286878754561,0.4838204780117916,0.22111563289402647,0.6242505842540985,NS,TRUE,Q4
MAP1LC3B2,-0.484816850216248,0.0329575746668134,0.15822375068125383,0.992046480436026,0.34114511212977555,NS,TRUE,Q4
PGP,0.115105951969291,-0.00769294695505707,0.8311436768019899,0.999361622694684,0.941762639193464,NS,TRUE,Q2
DHRS7C,-0.274391878983199,-0.131660275139286,0.48772594477052167,0.8583940077175571,0.9910894472980366,NS,FALSE,Q3
SMTNL1,-0.189592673265537,-0.149094543388589,0.835051601002122,0.8813889858919395,0.874940398610168,NS,FALSE,Q3
NUDT19,-0.442342548451975,0.0787906772121651,0.3414737494112327,0.9717342561629876,0.7273764165780955,NS,TRUE,Q4
NACA,-0.264442452428877,0.0767862426160768,0.2030048829154121,0.909346443680094,0.5873016622095323,NS,TRUE,Q4
SLC35A4,-0.188403105996866,0.125755803316594,0.7390493307156764,0.8635244423637033,0.6533337248608795,NS,TRUE,Q4
PDLIM1,1.01929504614024,-0.129854902449171,2.568153191466495e-6,0.902092181291052,0.9997498054978462,Sig Young only,TRUE,Q2
MYO1C,0.281616866739441,-0.137534083356918,0.46615595624191153,0.8346580639810297,0.37013237354107,NS,TRUE,Q2
