pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,clean_label
HALLMARK_MITOTIC_SPINDLE,4.850141840144518e-4,1e-10,0.49849310876659025,0.5517050164841912,1.9495288295424695,35,FSCN1;GSN;PREX1;KIF5B;MYH9;CTTN;FLNA;TUBA4A;SPTBN1;DYNC1H1;FLNB;LRPPRC;EPB41;KLC1;MAPRE1;VCL;MARCKS;EZR;SPTAN1;ACTN4,Hallmark,Training_Old,1,4,30.166666666666668,17.083333333333336,0.06981317007977318,0.5265076576849561,0.29816041388236464,Mitotic Spindle
HALLMARK_MYC_TARGETS_V1,3.3144641457250035e-4,2e-10,0.49849310876659025,0.3780970704686707,1.715564476469762,128,HPRT1;RPS6;TUFM;RPL22;CCT5;RPL18;RPS2;CCT4;HSPE1;CCT3;PRDX3;PSMD7;SET;RACK1;SNRPD3;RPS10;NME1;PA2G4;FAM120A;MRPS18B;G3BP1;CCT2;ABCE1;RPS3;IMPDH2;RPL6;CCT7;SRSF3;TCP1;RPS5;ETF1;PRDX4;MRPL9;HNRNPR;RPLP0;SSBP1;PSMA4;EIF2S1;PSMC6;SLC25A3;C1QBP;HSP90AB1;PSMC4;HNRNPA3,Hallmark,Training_Old,2,33.16666666666667,59.333333333333336,46.25,0.5788675352447861,1.035562022849969,0.8072147790473774,MYC Targets V1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,1.7397114548228258e-4,3e-10,0.5188480777437918,0.5796665124373855,2.0099553994571657,32,KIF5B;HSPA9;RPS14;ERO1A;DNAJA4;HYOU1;HSP90B1;EEF2;EIF4A2;TUBB2A;TARS1;BAG3;BANF1;SEC31A;HSPA5;EIF2S1;DCTN1,Hallmark,Training_Old,3,62.333333333333336,88.5,75.41666666666667,1.0879219004097986,1.5446163880149817,1.3162691442123902,"Unfolded Protein
Response"
GOBP_CYTOPLASMIC_TRANSLATION,7.180207884290811e-14,4e-10,0.9545416307257244,0.5791230643075358,2.581713922161625,117,RPS15;RPS6;RPL22;RPL24;RPS12;RPS21;RPL37A;RPS3A;SH3BGRL;RPL18;RPS2;RPL10;RPS17;RPSA;RPS19;RPS16;RPS14;RPS18;RPS13;RPL32;RPS4X;DRG2;RACK1;RPS11;RPS25;RPL23A;AKT2;RPL23;RPS10;RPS20;PKM;RPS7;RPS15A;EIF3C;RPLP2;EEF2;RPL11;RPL12;EIF4A2;RPL35;RPS3;EIF2B3;RPL6;RPL19;RPS8;EIF3I;RPS5;EIF3E;RPL7;ETF1;RPS28;RPL17;RPL38;RPL8;RPLP0;RPS9;RPL4;EIF3L;RPL13A;RPL31;SARS1;EIF3K;RPL29;RPL28;RPL13;EIF2B1;EIF3A;EIF2S2;RPL5;YBX1;RPL36,GO:BP,Training_Old,4,91.5,117.66666666666667,104.58333333333334,1.5969762655748114,2.0536707531799943,1.8253235093774032,"Cytoplasmic
Translation"
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,1.8708206464838657e-7,5e-10,0.6901324587967956,0.4679411281862759,2.078862788916919,114,FSCN1;MYBPH;RPS15;LCP1;RPS6;RPL24;CSRP3;MSN;GSN;TUBB;RPSA;RPS19;RPS14;CSRP1;CAPG;CASQ1;UBAP2L;FLNA;MYH11;DYNC1H1;G3BP1;RPL11;NRAP;RPS3;MYL9;ACTA1;RPS5;CAPRIN1;FLNC;RPS28;MAPRE1;WDR1;RPL38;EZR;SQSTM1;ACTN2;EIF2S1;TPM1;TNNT3;FXR1;C1QBP;SBDS;CAPN3;CHMP4B;VPS4B;TMOD4;RPL5;MAPRE3;MYL2;KLHL41;LMOD3,GO:BP,Training_Old,5,120.66666666666667,146.83333333333334,133.75,2.1060306307398244,2.562725118345007,2.3343778745424157,"Membraneless
Organelle Assembly"
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,6.691914096342006e-7,6e-10,0.6594443980379349,0.6874408741834896,2.343992282145498,30,RPS15;RPS6;RPS12;RPS21;RPS3A;RPS17;RPSA;RPS19;RPS16;RPS14;RPS13;RPS4X;RPS11;RPS25;RPS7;RPS15A;RPS8;RPS5;RPS28,GO:BP,Training_Old,6,149.83333333333334,176,162.91666666666669,2.6150849959048372,3.07177948351002,2.843432239707429,"Ribosomal Small
Subunit Biogenesis"
HALLMARK_ADIPOGENESIS,6.265013316305677e-4,7.000000000000001e-10,0.47727081536286214,-0.3739825299070604,-1.7029689900834395,109,SSPN;MYLK;SLC27A1;GPX3;ATL2;CAVIN2;ACADS;TALDO1;PLIN2;ME1;ITGA7;SOD1;CMBL;UBQLN1;QDPR;COQ9;GPHN;TST;ACAA2;CPT2;HADH;SORBS1;GPD2;IDH1;FABP4;MGST3;ADIPOQ;NMT1,Hallmark,Training_Old,7,184,210.16666666666666,197.08333333333331,3.211405823669566,3.668100311274749,3.4397530674721573,Adipogenesis
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,1.177897890413766e-5,8e-10,0.5933254763964051,-0.40748039336720904,-1.8971045131941735,126,ALDH6A1;MPST;GPT2;RIDA;KYAT1;HAGH;ACADS;CPT1B;RBKS;ECHDC2;PLIN5;ACSS2;GPT;OXCT1;GSK3A;QDPR;GLUL;TST;ACAA2;ALDH1L1;GALK1;HADHB;SORD;CPT2;HADH;GSTZ1;GPD2;PARK7;ACAT1;CPT1A;GOT1;SHMT1;ADIPOQ;GNPDA1;TIGAR;MTAP;NUDT3;MPI;ECI1;ACADVL;DCXR;AASDHPPT;ADH5;MCCC1;ETFA;HADHA;PDXP;SULT1A1;BCKDHA;GCSH;NQO2;BLMH;ACAA1;KYAT3;ILVBL;ACADSB,GO:BP,Training_Old,8,213.16666666666666,239.33333333333331,226.25,3.720460188834579,4.177154676439762,3.94880743263717,"Small Molecule
Catabolism"
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,1.6367775353958017e-5,9e-10,0.5756102610711286,-0.4530111368038587,-1.978545786109984,86,ALDH6A1;MPST;GPT2;RIDA;KYAT1;ACADS;CPT1B;ECHDC2;PLIN5;GPT;QDPR;GLUL;TST;ACAA2;ALDH1L1;HADHB;SORD;CPT2;HADH;GSTZ1;ACAT1;CPT1A;GOT1;SHMT1;ADIPOQ;GNPDA1;ECI1;ACADVL;DCXR;AASDHPPT;MCCC1;ETFA;HADHA;BCKDHA;GCSH;BLMH;ACAA1;KYAT3;ILVBL;ACADSB;ALDH5A1,GO:BP,Training_Old,9,242.33333333333331,268.5,255.41666666666666,4.229514553999592,4.686209041604775,4.457861797802183,"Organic Acid
Catabolism"
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,1.2254964558381298e-4,1e-9,0.5188480777437918,-0.43935820726700137,-1.8850654847457584,79,MPST;GSTO1;GSTP1;GPC1;HAGH;STAT5B;GPX1;GLO1;ACSS2;SOD1;SUOX;MAT2A;TST;ACSF2;GSTZ1;ENOPH1;PDHX;IDH1;ACAT1;PANK4;AHCY;OPLAH;MCCC1;GSS;ABHD14B;SULT1A1;BLMH;MTHFD1;ARL6IP5;MCEE;ETHE1;OXSM;DLD;ACSL1;SUCLG2;MPC2;GCDH;COASY;ACOT2;ACSS1;MAT2B;DLAT;SOD2;PDK1,GO:BP,Training_Old,10,271.5,297.6666666666667,284.58333333333337,4.738568919164605,5.195263406769788,4.9669161629671965,"Sulfur Compound
Metabolism"
