LV,ME,r,pvalue,padj
LV1,MEturquoise,0.98233203805574,2.2357766997155297e-45,7.154485439089695e-44
LV5,MEblack,0.9775447901671536,2.779052584715555e-42,4.446484135544888e-41
LV4,MEgreen,0.9736939394158257,3.0361163205424925e-40,3.238524075245325e-39
LV6,MEyellow,0.9729905872451884,6.633726178894613e-40,5.3069809431156905e-39
LV7,MEbrown,0.8872614746539852,7.911564074287451e-22,5.0634010075439685e-21
LV8,MEpink,0.8797447241516405,4.9064288415831636e-21,2.6167620488443537e-20
LV2,MEblue,0.8157065204236994,6.803514197905891e-16,3.1101779190426928e-15
LV2,MEred,0.7715854628511656,2.1458774496853e-13,8.498520761774656e-13
LV2,MEmagenta,0.7706507465773184,2.390208964249122e-13,8.498520761774656e-13
LV8,MEblue,0.6266196176818398,5.092452937657311e-8,1.5594451780448466e-7
LV7,MEred,-0.6258088429450519,5.36059279952916e-8,1.5594451780448466e-7
LV2,MEbrown,-0.5714522543760603,1.2292807578556708e-6,3.2780820209484554e-6
LV1,MEblue,-0.5275927459334597,1.0516418240209076e-5,2.5886567975899266e-5
LV5,MEblue,-0.5225312022815397,1.3220697764342052e-5,3.0218737747067546e-5
LV5,MEbrown,0.5145497795037558,1.8826973706815805e-5,4.0164210574540386e-5
LV6,MEred,-0.5109441963602007,2.2023195630809267e-5,4.4046391261618534e-5
LV1,MEyellow,-0.5024912091087878,3.158985598522686e-5,5.946325832513291e-5
LV6,MEturquoise,-0.4543996730779103,2.0731483530339714e-4,3.6063413783914003e-4
LV2,MEyellow,-0.4535075769779444,2.141265193419894e-4,3.6063413783914003e-4
LV3,MEmagenta,-0.4296807893360696,4.917793167891856e-4,7.535368036662284e-4
LV3,MEbrown,-0.429516207132726,4.945085274059624e-4,7.535368036662284e-4
LV4,MEblue,-0.4149881130270035,7.973022692103553e-4,0.001142357283159234
LV8,MEblack,-0.41407320330544595,8.210692972706995e-4,0.001142357283159234
LV8,MEgreen,-0.41065614090698016,9.156061839321216e-4,0.0012208082452428287
LV7,MEgreen,-0.3835462125679162,0.0020895645707896143,0.0026746426506107064
LV6,MEmagenta,-0.37357303972376305,0.002782964609875032,0.003425187212153886
LV3,MEblack,-0.3717379085254124,0.0029308306374963254,0.0034735770518474966
LV3,MEblue,0.3653886463954655,0.0034977981686159405,0.003997483621275361
LV8,MEbrown,-0.360828220953857,0.00396304284506944,0.004373012794559382
LV5,MEpink,-0.35114789605855656,0.005135891377197812,0.005478284135677666
LV4,MEturquoise,0.33593396798334224,0.007599269213273966,0.007844406929831191
LV1,MEgreen,0.3183373935263448,0.011683875102361277,0.011683875102361277
