sample_id,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8
OP_S06_Pre,0.09820560837902689,-1.2153393103263124,1.0787551126648451,1.206980700463583,-0.7360412746635658,0.08748370999177463,-0.24327385508535362,0.4061829841371971
OP_S11_Pre,-0.60084058693674,0.5287230962213704,0.6632962047279557,-0.4930164679108265,0.3200804359278643,-0.48927607307571425,-0.4041207952835433,0.09372554793376026
OP_S12_Pre,-0.3268262065471795,0.19440070804832996,0.6890668740445295,0.13805956194724436,-1.3442185560650233,0.08798424084701027,0.32099827550676363,0.11451006355621313
OP_S17_Pre,-0.6785711208617243,1.924142368200403,-0.7308163858231855,0.02211328318690696,-0.8929788229048263,-0.24322857026624095,-0.2564940040067697,0.4758442567283053
O_S05_Pre,0.38386843653384556,-0.04902619906009674,0.7866634283559629,-0.9760714412364888,-0.5126586717833915,0.01354942598759564,0.14863430938852593,0.4843397364169995
O_S06_Pre,-0.7118401485133106,1.8931795138469718,-0.15276136799463988,-0.4019819914521483,-0.11149038274090216,-0.6641513436744906,-0.5045306869277969,0.6412928073403433
O_S07_Pre,0.417074955200162,-1.268755836919786,1.039434829368985,-0.5307310812965627,-0.6010286056458307,1.016262675577093,0.07768441954368588,0.01731829776622758
O_S10_Pre,-0.27998898486215934,-0.2595024052511146,0.8803125435005803,0.5036429175982169,-0.090266162903641,-0.06801251593593038,-1.107326545278358,0.11061536705060794
O_S16_Pre,-0.5396569797725896,0.3016361886387809,0.8071592441085575,-0.3909315542563287,0.11957787276325481,-0.326138248172971,-0.47047277363901374,0.23498755165344964
O_S17_Pre,-0.45349173256918907,-0.1880302906844241,0.7422624995599165,-0.3940591349270031,0.00656255323011702,0.2583674923370996,-0.30240489808402693,0.43547896577273704
O_S24_Pre,0.0523963787543893,0.2177472077303307,0.9109928455791256,-0.9133039984810822,-2.520070874467495,0.11394666283293808,0.037867162196745276,0.4645910609667068
O_S28_Pre,-0.5409593877894958,-0.6772642663166158,0.8434973888630574,0.6366833863799373,0.24669844380508021,0.40757233897771283,-0.8289431497562978,-0.03120357266590176
O_S29_Pre,-0.6402210603377559,0.6352956880869448,0.822718024958917,-0.3122868101634278,0.13778657089024923,-0.5871090264146932,-0.5639777459386472,0.4620907827648992
O_S32_Pre,-0.7491366830089095,0.647603489724859,0.37175026327612637,-0.8097702602229808,0.24100013245811158,-0.4718633198498803,-0.05186725751603984,0.4797007974200969
O_S35_Pre,-0.48901160141684086,1.605072988316228,0.3807857362098144,-0.3702182362826536,-0.4473168641075726,-0.6170298675435321,-0.30741325977131767,-0.05004941875371713
OP_S06_Post,-0.20207078056174665,-0.7218241860067327,0.9731348545715451,-0.11771263071834404,-0.9014568655575657,0.5109507169460671,0.44763931534076346,0.4972850558592278
OP_S11_Post,-1.0852728837497643,1.0679273346914486,0.10542395948738448,0.3324648610784876,0.5840565212885405,-1.1291167646670628,-0.17266916276901492,0.1275183150577078
OP_S12_Post,-0.4617916426177765,0.4615187980405618,0.36169380512854554,0.08681400084347374,-0.8481910752730737,0.1488114899114863,0.3338060315738233,0.13083798187423512
OP_S17_Post,-0.46047200817753314,1.4748717661243715,-0.9044714815979358,0.02563506821468378,-0.9489648317517699,-0.10862008049708416,-0.2446131605876656,1.0368892900405107
O_S05_Post,-0.7106406752246132,0.9275929832214446,0.10248136120038888,-0.5031962617475071,0.2875187302554998,-0.29279339857659575,-0.22567940170867778,-0.08977791584617653
O_S06_Post,-0.9068603378757348,-0.18781754235040635,-0.3229028307572969,0.1306625911896975,0.931645712583979,-0.9436565679613542,1.1689694612454307,0.5941010951214725
O_S07_Post,-0.3339736205693634,0.5543052688407264,0.39571905184082795,0.14328547151170745,-0.021516951003230107,-0.28717577631667524,-0.5318411231151281,-0.0014188094678096335
O_S10_Post,-0.15295596160036837,0.40340176233482933,0.21287304531716197,-0.3685571360709761,-0.5567336385493085,-0.08537273892146775,-0.11692915656362735,0.2147239023326595
O_S16_Post,-0.5317638881137989,0.6676848205378493,0.3580712718099836,-0.6890466461858328,0.403781487878553,-0.43504486707039886,-0.296460006297427,0.12492798890820164
O_S17_Post,-0.6520914710702904,0.6408521037588408,0.4971043705528825,-0.6019490194716944,-0.003428186632204308,-0.4249666693728982,-0.05713352703668654,0.4817032597367697
O_S24_Post,-0.45346942531275136,0.7091251422258982,0.38513105693540717,-0.6300320616179624,-0.48870122665339133,0.1365372718719105,0.11455661879779903,0.0790974659396414
O_S28_Post,-0.510594343857413,0.10504182780863655,0.18940686070992668,0.7248656774224704,-0.28196285301531726,0.28298965254660763,-0.366140594713252,0.28062349708576195
O_S29_Post,-0.5193445762739406,-0.8875508733172621,1.3526972864312243,-0.36894718004982063,0.022230785845915865,0.4490269639775839,-0.6232854263481058,1.1602485062779244
O_S32_Post,-0.5695580849561941,-0.30833936470817824,0.7798625562851614,0.08401046636495728,0.3221010568254971,0.04808365481997293,-0.16773989465573547,0.09022752224157657
O_S35_Post,-0.7427353421310212,-0.1947444867793659,-0.19730912633000813,-0.36605056602194075,0.6891368602051158,-0.053959967651724824,0.6749189240321125,0.41561138245852347
YP_S14_Pre,0.33737367205551755,0.3076991293373983,-0.5162745649208202,0.5080069240042864,-0.4201173784516195,0.5697421096189415,-0.9655230829299418,0.0625528588938799
YP_S45_Pre,0.667508115883239,-0.9743881078300458,-0.16160011995306647,1.4246606529051777,0.34136755069783264,0.782243127400001,-0.8317256055817815,-0.7617347550361044
YP_S56_Pre,-0.4634323681176755,0.41474591201519373,-0.1779692567423679,-0.49610458693099807,0.15422700058503278,0.034995467856274866,0.2674498813595664,0.12003569017014526
Y_S01_Pre,0.3420264064131759,-0.8043325671243251,-0.46882008310588413,0.694926385423438,0.33361778333511194,0.2858797339312084,-0.3164646813990354,0.03196539935386784
Y_S07_Pre,2.5447604631546117,0.09011870090310778,-0.08624486360813505,-0.03395723537830234,0.15195572304453966,-1.085512118026616,0.04113587693043916,-0.4785112732452665
Y_S10_Pre,2.3489648473475753,-0.5336061124661232,0.6833227274367487,0.520084817977928,-0.17101219188282896,-1.28622656926419,-0.15058560483164296,-0.2436050580411886
Y_S11_Pre,2.1125903850442134,0.6678308149693379,0.06619981752163183,0.17137293693640326,-0.4028452778836643,-1.4597330045841101,-0.39613210224153655,-0.2946048576587951
Y_S16_Pre,-0.007564533200242829,0.163022870398158,-0.06069874412730236,0.3461356673760237,-0.04038730066059269,0.14131415046541848,-0.16836090699089032,-0.7074701965553528
Y_S28_Pre,-0.2048139236695276,-0.213513650555856,-0.8027096426509083,0.40831125474938496,0.554331742460079,0.2556473047567138,0.12071448089319974,-0.3123133514461544
Y_S30_Pre,-0.2697011677333226,-0.8419700399399987,-0.1629203809233245,0.22407094055378396,0.7844701683464641,0.5822061628539138,0.2927202493631123,-1.0977796558639477
