Col_ID,Subject_ID,Group,Timepoint,pct_missing,prefix,delta_missing,miss_flag,mahal_dist,pca_flag,sample_median,mad_flag,n_flags,consensus_outlier
OP_S06_Pre,S06,Old,Pre,15.71633924293244,OP_S06,0,FALSE,1.4892649935365236,FALSE,21.326154597298338,FALSE,0,FALSE
OP_S06_Post,S06,Old,Post,5.654048873981792,OP_S06,-10.062290368950649,FALSE,0.7714076925869997,FALSE,20.70442631918378,FALSE,0,FALSE
OP_S11_Pre,S11,Old,Pre,2.827024436990896,OP_S11,0,FALSE,1.6174620605311332,FALSE,20.70565429582911,FALSE,0,FALSE
OP_S11_Post,S11,Old,Post,3.689506468615237,OP_S11,0.8624820316243409,FALSE,2.3855176423680517,FALSE,20.938620219324463,FALSE,0,FALSE
OP_S12_Pre,S12,Old,Pre,4.408241494968855,OP_S12,0,FALSE,1.2865705940122094,FALSE,20.561331768091677,FALSE,0,FALSE
OP_S12_Post,S12,Old,Post,4.791566842357451,OP_S12,0.38332534738859625,FALSE,0.9107398359519001,FALSE,20.763827506852216,FALSE,0,FALSE
OP_S17_Pre,S17,Old,Pre,7.0436032582654535,OP_S17,0,FALSE,4.447122588503442,FALSE,21.049825404324363,FALSE,0,FALSE
OP_S17_Post,S17,Old,Post,11.835170100622904,OP_S17,4.79156684235745,FALSE,3.0481948573889683,FALSE,21.137555925180614,FALSE,0,FALSE
O_S05_Pre,S05,Old,Pre,7.85816962146622,O_S05,0,FALSE,0.6812902489735095,FALSE,21.003476049935536,FALSE,0,FALSE
O_S05_Post,S05,Old,Post,4.168663152850982,O_S05,-3.689506468615238,FALSE,1.589935425309742,FALSE,20.724246196785405,FALSE,0,FALSE
O_S06_Pre,S06,Old,Pre,4.791566842357451,O_S06,0,FALSE,4.47016685698788,FALSE,20.865987692785342,FALSE,0,FALSE
O_S06_Post,S06,Old,Post,2.827024436990896,O_S06,-1.9645424053665548,FALSE,3.238099146898049,FALSE,20.904816735490385,FALSE,0,FALSE
O_S07_Pre,S07,Old,Pre,12.553905126976522,O_S07,0,FALSE,2.256226970069444,FALSE,20.864356198162756,FALSE,0,FALSE
O_S07_Post,S07,Old,Post,7.139434595112602,O_S07,-5.41447053186392,FALSE,0.7601777801915426,FALSE,20.82274689860042,FALSE,0,FALSE
O_S10_Pre,S10,Old,Pre,11.356013416387158,O_S10,0,FALSE,1.2917579103540675,FALSE,21.166609955905837,FALSE,0,FALSE
O_S10_Post,S10,Old,Post,7.85816962146622,O_S10,-3.4978437949209384,FALSE,0.5489559002464676,FALSE,20.917703500172433,FALSE,0,FALSE
O_S16_Pre,S16,Old,Pre,4.647819837086727,O_S16,0,FALSE,1.2728156271380948,FALSE,20.821393298782574,FALSE,0,FALSE
O_S16_Post,S16,Old,Post,5.701964542405367,O_S16,1.05414470531864,FALSE,1.3143373296258618,FALSE,20.841567987667126,FALSE,0,FALSE
O_S17_Pre,S17,Old,Pre,3.5936751317680886,O_S17,0,FALSE,0.6537919416670565,FALSE,20.736394637457643,FALSE,0,FALSE
O_S17_Post,S17,Old,Post,2.731193100143747,O_S17,-0.8624820316243418,FALSE,2.0525151743562544,FALSE,20.763154097099566,FALSE,0,FALSE
O_S24_Pre,S24,Old,Pre,5.893627216099665,O_S24,0,FALSE,2.2959194833563954,FALSE,20.52995854417619,FALSE,0,FALSE
O_S24_Post,S24,Old,Post,4.4561571633924295,O_S24,-1.4374700527072353,FALSE,1.1660069336354444,FALSE,20.643870276583208,FALSE,0,FALSE
O_S28_Pre,S28,Old,Pre,6.6123622424532815,O_S28,0,FALSE,0.6893923738916473,FALSE,20.945117298910837,FALSE,0,FALSE
O_S28_Post,S28,Old,Post,6.468615237182558,O_S28,-0.1437470052707237,FALSE,1.0047069841008922,FALSE,20.94369673125557,FALSE,0,FALSE
O_S29_Pre,S29,Old,Pre,3.3540967896502156,O_S29,0,FALSE,2.265799583903288,FALSE,20.78228079615817,FALSE,0,FALSE
O_S29_Post,S29,Old,Post,4.887398179204601,O_S29,1.533301389554385,FALSE,0.5330275797114749,FALSE,20.80168546933746,FALSE,0,FALSE
O_S32_Pre,S32,Old,Pre,2.156205079060853,O_S32,0,FALSE,2.18302722859592,FALSE,20.69866056672148,FALSE,0,FALSE
O_S32_Post,S32,Old,Post,3.9770004791566844,O_S32,1.8207954000958315,FALSE,0.49665693741492706,FALSE,20.70043125112277,FALSE,0,FALSE
O_S35_Pre,S35,Old,Pre,4.743651173933876,O_S35,0,FALSE,3.305732843251068,FALSE,20.86729908831824,FALSE,0,FALSE
O_S35_Post,S35,Old,Post,1.820795400095831,O_S35,-2.922855773838045,FALSE,2.2729600454595245,FALSE,20.694130849767767,FALSE,0,FALSE
YP_S14_Pre,S14,Young,Pre,21.082894106372784,YP_S14,0,FALSE,3.8507967786819233,FALSE,21.41932295515451,FALSE,0,FALSE
YP_S14_Post,S14,Young,Post,6.0373742213703885,YP_S14,-15.045519885002395,TRUE,1.2953521005533504,FALSE,20.64741889992567,FALSE,1,FALSE
YP_S45_Pre,S45,Young,Pre,25.347388596070914,YP_S45,0,FALSE,7.268527601972821,FALSE,21.681193266521316,FALSE,0,FALSE
YP_S45_Post,S45,Young,Post,22.999520843315764,YP_S45,-2.3478677527551497,FALSE,4.568865385219803,FALSE,21.536598681785428,FALSE,0,FALSE
YP_S56_Pre,S56,Young,Pre,4.408241494968855,YP_S56,0,FALSE,0.7080791221356155,FALSE,20.745077661834532,FALSE,0,FALSE
YP_S56_Post,S56,Young,Post,4.695735505510302,YP_S56,0.2874940105414474,FALSE,7.517777029152755,FALSE,20.57431726765564,FALSE,0,FALSE
Y_S01_Pre,S01,Young,Pre,19.405845711547677,Y_S01,0,FALSE,2.130084034529033,FALSE,21.57483858924998,FALSE,0,FALSE
Y_S01_Post,S01,Young,Post,12.362242453282224,Y_S01,-7.043603258265453,FALSE,0.07038756711413993,FALSE,21.167155334797762,FALSE,0,FALSE
Y_S05_Pre,S05,Young,Pre,46.71777671298515,Y_S05,0,TRUE,25.74902822145855,TRUE,22.918400874576243,TRUE,3,TRUE
Y_S05_Post,S05,Young,Post,33.54096789650215,Y_S05,-13.176808816482996,TRUE,6.787044697209079,FALSE,22.057953724741022,FALSE,1,FALSE
Y_S07_Pre,S07,Young,Pre,33.780546238620026,Y_S07,0,TRUE,4.541086196072936,FALSE,22.03204367775414,FALSE,1,FALSE
Y_S07_Post,S07,Young,Post,33.20555821753713,Y_S07,-0.5749880210828948,FALSE,13.023995697795831,TRUE,22.381087945942042,TRUE,2,FALSE
Y_S10_Pre,S10,Young,Pre,28.03066602779109,Y_S10,0,FALSE,2.4089142758191207,FALSE,21.728570872375222,FALSE,0,FALSE
Y_S10_Post,S10,Young,Post,22.999520843315764,Y_S10,-5.031145184475324,FALSE,9.222725769647942,FALSE,21.75422571403303,FALSE,0,FALSE
Y_S11_Pre,S11,Young,Pre,28.36607570675611,Y_S11,0,FALSE,3.776091458493028,FALSE,21.895446221549115,FALSE,0,FALSE
Y_S11_Post,S11,Young,Post,24.293243890752276,Y_S11,-4.072831816003834,FALSE,5.072843002573479,FALSE,21.595671772684703,FALSE,0,FALSE
Y_S16_Pre,S16,Young,Pre,11.978917105893627,Y_S16,0,FALSE,0.46161909393446127,FALSE,21.059988019151614,FALSE,0,FALSE
Y_S16_Post,S16,Young,Post,15.189266890273121,Y_S16,3.2103497843794937,FALSE,0.6756946988587902,FALSE,21.284214512193248,FALSE,0,FALSE
Y_S28_Pre,S28,Young,Pre,12.841399137517968,Y_S28,0,FALSE,0.5030012969086585,FALSE,21.192823154986566,FALSE,0,FALSE
Y_S28_Post,S28,Young,Post,16.05174892189746,Y_S28,3.210349784379492,FALSE,1.437427089579741,FALSE,21.171791098908198,FALSE,0,FALSE
Y_S30_Pre,S30,Young,Pre,10.541447053186392,Y_S30,0,FALSE,2.0297452091012547,FALSE,21.055096382242034,FALSE,0,FALSE
Y_S30_Post,S30,Young,Post,7.0436032582654535,Y_S30,-3.4978437949209384,FALSE,3.6264803193988375,FALSE,20.72182759646176,FALSE,0,FALSE
Y_S31_Pre,S31,Young,Pre,18.49544801149976,Y_S31,0,FALSE,1.5127888169147985,FALSE,21.362962070133747,FALSE,0,FALSE
Y_S31_Post,S31,Young,Post,15.71633924293244,Y_S31,-2.779108768567321,FALSE,3.907495481625373,FALSE,21.288174982182394,FALSE,0,FALSE
Y_S32_Pre,S32,Young,Pre,15.093435553425971,Y_S32,0,FALSE,0.8538768002774786,FALSE,21.189354609040095,FALSE,0,FALSE
Y_S32_Post,S32,Young,Post,9.870627695256347,Y_S32,-5.222807858169624,FALSE,2.568719639283053,FALSE,20.89893714783411,FALSE,0,FALSE
Y_S34_Pre,S34,Young,Pre,35.07426928605654,Y_S34,0,TRUE,3.517668944652598,FALSE,21.890203778453966,FALSE,1,FALSE
Y_S34_Post,S34,Young,Post,19.501677048394825,Y_S34,-15.572592237661716,TRUE,2.1995230664320786,FALSE,21.48521114173763,FALSE,1,FALSE
Y_S35_Pre,S35,Young,Pre,13.560134163871588,Y_S35,0,FALSE,1.269005144243063,FALSE,21.228436890306813,FALSE,0,FALSE
Y_S35_Post,S35,Young,Post,10.685194058457114,Y_S35,-2.874940105414474,FALSE,2.0618884834184525,FALSE,20.89201387357376,FALSE,0,FALSE
Y_S36_Pre,S36,Young,Pre,17.34547196933397,Y_S36,0,FALSE,2.9803813869076325,FALSE,21.30773724097341,FALSE,0,FALSE
Y_S36_Post,S36,Young,Post,12.410158121705797,Y_S36,-4.935313847628175,FALSE,1.0134532921315522,FALSE,21.25275983905805,FALSE,0,FALSE
Y_S40_Pre,S40,Young,Pre,14.422616195495927,Y_S40,0,FALSE,1.8325995024309003,FALSE,21.04395527287387,FALSE,0,FALSE
Y_S40_Post,S40,Young,Post,10.11020603737422,Y_S40,-4.312410158121706,FALSE,6.257452225454102,FALSE,20.872417154616908,FALSE,0,FALSE
