"gene","cv_pre","cv_post","delta_cv","age"
"MMP24OS",21.5624407899242,44.6290327756353,23.0665919857111,"Young"
"ESYT2",22.3895003494496,33.077174917143,10.6876745676934,"Young"
"ILVBL",25.0299089433081,30.8918626415786,5.86195369827045,"Young"
"FSD2",26.6153085103468,24.3882931274141,-2.22701538293262,"Young"
"TARS3",49.2330855582291,21.4449833476893,-27.7881022105398,"Young"
"VWA8",28.2685038767512,27.3369721780838,-0.931531698667396,"Young"
"CARNS1",43.2500181468753,44.713038195017,1.46302004814163,"Young"
"MAP1LC3B2",35.323770219821,3.72174474681728,-31.6020254730037,"Young"
"PGP",19.2463950744605,12.5778475995844,-6.66854747487611,"Young"
"DHRS7C",31.5400373881935,28.8727572753962,-2.66728011279723,"Young"
"SMTNL1",31.5067426244955,37.1602217517213,5.65347912722573,"Young"
"NUDT19",52.7137835052198,50.2628642810049,-2.45091922421492,"Young"
"NACA",13.7132005445741,18.2644773644157,4.55127681984159,"Young"
"SLC35A4",26.7226641219478,38.3082058942572,11.5855417723093,"Young"
"PDLIM1",34.9337021322795,50.1129384005627,15.1792362682831,"Young"
"MYO1C",24.1624524294226,46.3688503084936,22.206397879071,"Young"
"FXYD1",33.5172278219188,43.1681819096263,9.65095408770753,"Young"
"STXBP3",9.0984043591866,30.7443765605469,21.6459722013603,"Young"
"NDUFS8",25.3147036692173,42.6460562538887,17.3313525846714,"Young"
"PSMD11",10.4422929157787,18.0080990127602,7.5658060969815,"Young"
"PSMD12",19.4402916819832,21.1988640879992,1.75857240601598,"Young"
"PSMD9",20.9843038813884,20.7662947278178,-0.218009153570545,"Young"
"PGRMC1",57.3662764497872,40.677128406161,-16.6891480436261,"Young"
"CLIC1",24.1656402528935,32.779843481552,8.61420322865851,"Young"
"EIF3F",15.9415981567106,19.6017660201632,3.66016786345256,"Young"
"PDHX",12.3241362623439,18.286304948449,5.96216868610514,"Young"
"DCTN6",18.0885833052893,29.6724931884441,11.5839098831548,"Young"
"IPO5",12.3188436943686,12.4795833141767,0.160739619808121,"Young"
"EEF2K",20.0103902017251,35.6843343312955,15.6739441295704,"Young"
"EML1",15.100706055401,20.5534152940777,5.45270923867673,"Young"
"DNM1L",16.8641753879449,19.6477815394122,2.78360615146734,"Young"
"RTCA",21.2850118169513,23.2760709035646,1.99105908661329,"Young"
"NDUFA4",22.533876570037,23.2337216839359,0.699845113898874,"Young"
"PSMD14",15.9801740815816,13.6830274588741,-2.29714662270754,"Young"
"BIN1",8.34935522603282,13.1540885785216,4.80473335248882,"Young"
"KPNA3",35.9017371994126,25.1461451458748,-10.7555920535377,"Young"
"DDX3X",25.7238874276671,23.1948956036557,-2.52899182401145,"Young"
"KPNA4",13.5119527679684,16.3063636905365,2.79441092256809,"Young"
"CES2",27.1760336067792,43.1712286762818,15.9951950695026,"Young"
"FBP2",38.7876795949228,28.7165269604998,-10.071152634423,"Young"
"PDXK",20.8049839236177,13.0380149065753,-7.76696901704243,"Young"
"SDHD",25.2035238597366,27.1954422205732,1.99191836083658,"Young"
"COX7A2L",19.9025243137734,37.5140673993174,17.6115430855439,"Young"
"GAPDHS",75.2121349762137,73.7501518020199,-1.46198317419386,"Young"
"HSPB6",40.4466597407084,37.5320848304482,-2.91457491026018,"Young"
"NDUFAB1",50.0207932998173,38.4883005104234,-11.5324927893938,"Young"
"IMPA2",25.3481363937437,31.3737972341862,6.0256608404425,"Young"
"PDCD5",15.3552168266518,15.3459873494449,-0.00922947720690814,"Young"
"PRMT5",19.7666027289563,19.0244276956112,-0.742175033345138,"Young"
"PSMA7",8.29303277199073,13.6902404591107,5.39720768711999,"Young"
"OPLAH",15.2143713807171,27.93225244989,12.7178810691729,"Young"
"MGST3",20.6054792346685,29.2620312049625,8.65655197029391,"Young"
"RGS12",40.8548927412496,38.5733349660851,-2.28155777516449,"Young"
"HAT1",84.5887041270398,73.8979814776932,-10.6907226493465,"Young"
"UQCRQ",11.3335698975503,23.6975230019441,12.3639531043938,"Young"
"MYL12B",31.5210311679838,33.3989370643721,1.87790589638836,"Young"
"UQCR11",46.9259337158695,26.3445335638145,-20.581400152055,"Young"
"CASQ2",35.5965318417373,37.0892410045642,1.49270916282691,"Young"
"HGS",26.8585137105751,26.2689808394311,-0.589532871143977,"Young"
"HNRNPDL",42.2965349230738,45.9134322543085,3.61689733123472,"Young"
"XPO1",11.687148800199,17.8028920747045,6.11574327450547,"Young"
"ATP2A1",24.2508233839235,31.7325044260042,7.48168104208066,"Young"
"SYNJ2",68.2799672178042,48.7519692878179,-19.5279979299862,"Young"
"SYNM",46.8703362067426,68.2808905841062,21.4105543773637,"Young"
"ARPC1B",37.6164472457962,28.1372267934793,-9.47922045231695,"Young"
"PGRMC2",29.1459569042837,30.3116086912841,1.16565178700038,"Young"
"PFDN6",20.8341949225741,20.2474741540253,-0.58672076854883,"Young"
"NDUFA1",44.2842971903593,64.4639401536538,20.1796429632945,"Young"
"SURF4",28.9428364466421,28.9850050424928,0.0421685958507325,"Young"
