"age","time","group","med","ci_lo","ci_hi","cv_max"
"Young","Pre","Young_Pre",24.2871462833536,23.6939243509953,24.7623407747591,150.257470245074
"Young","Post","Young_Post",25.9747992552661,25.1863594548036,26.5406351450547,294.925885124572
"Old","Pre","Old_Pre",24.9173888597163,24.3537110835157,25.6998619627603,188.39538455578
"Old","Post","Old_Post",22.8611722524274,22.3678832033735,23.3678559721955,180.191085156917
