"comparison","p_raw","p_bh","cliffs_d"
"Young_Pre vs Young_Post",5.01640275715388e-06,6.6885370095385e-06,-0.0811482074259448
"Old_Pre vs Old_Post",3.33831590354051e-06,6.67663180708102e-06,0.0821292932267048
"Young_Pre vs Old_Pre",0.266485318703535,0.266485318703535,-0.0197222787530839
"Young_Post vs Old_Post",2.47268873901142e-15,9.89075495604568e-15,0.140078591053169
