pathway,pathway_label,database,NES_Training_Young,NES_Training_Old,padj_Training_Young,padj_Training_Old,significance,set_size
GOSLIM_TELOMERE_ORGANIZATION,Telomere Organization,GO Slim,1.508,1.57,0.08147,0.0637,NS,32
GOSLIM_VITAMIN_METABOLIC_PROCESS,Vitamin Metabolic Process,GO Slim,1.366,-1.634,0.2283,0.06502,NS,15
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,Hallmark,-1.613,-1.245,0.0759,0.4323,NS,22
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,Hallmark,1.628,1.171,0.05416,0.4764,NS,33
GOSLIM_CYTOKINESIS,Cytokinesis,GO Slim,1.479,1.306,0.08589,0.2456,NS,39
HALLMARK_ALLOGRAFT_REJECTION,Allograft Rejection,Hallmark,1.432,1.284,0.1979,0.4141,NS,27
HALLMARK_ANDROGEN_RESPONSE,Androgen Response,Hallmark,-1.211,-1.41,0.4115,0.3148,NS,27
HALLMARK_UV_RESPONSE_DN,UV Response Dn,Hallmark,-1.734,-0.873,0.05032,0.7971,NS,17
HALLMARK_COAGULATION,Coagulation,Hallmark,1.255,1.334,0.3814,0.3891,NS,29
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Hallmark,-1.156,-1.422,0.4213,0.3148,NS,21
HALLMARK_HYPOXIA,Hypoxia,Hallmark,1.224,1.335,0.3814,0.3148,NS,56
HALLMARK_APICAL_JUNCTION,Apical Junction,Hallmark,1.036,1.504,0.6207,0.1843,NS,39
GOSLIM_DNA_RECOMBINATION,DNA Recombination,GO Slim,-1.3,-1.032,0.2283,0.6395,NS,35
HALLMARK_G2M_CHECKPOINT,G2M Checkpoint,Hallmark,0.906,-1.388,0.8039,0.3148,NS,33
HALLMARK_HEME_METABOLISM,Heme Metabolism,Hallmark,-1.175,-1.116,0.4115,0.4903,NS,48
HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,Hallmark,-1.182,-1.098,0.4213,0.5424,NS,10
GOSLIM_NUCLEOCYTOPLASMIC_TRANSPORT,Nucleocytoplasmic Transport,GO Slim,1.187,1.083,0.306,0.5937,NS,67
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,Hallmark,-1.406,-0.844,0.2501,0.7971,NS,14
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,Hallmark,1.282,-0.964,0.3814,0.6939,NS,14
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFa Signaling Via Nfkb,Hallmark,1.407,-0.829,0.2501,0.7971,NS,16
HALLMARK_UV_RESPONSE_UP,UV Response Up,Hallmark,1.182,-1.037,0.4115,0.5986,NS,41
HALLMARK_MYC_TARGETS_V2,MYC Targets V2,Hallmark,1.209,0.994,0.4213,0.6939,NS,13
GOSLIM_CILIUM_ORGANIZATION,Cilium Organization,GO Slim,1.189,1.004,0.3434,0.6395,NS,29
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,Hallmark,0.836,1.304,0.836,0.4141,NS,16
HALLMARK_PROTEIN_SECRETION,Protein Secretion,Hallmark,1.021,-1.107,0.6218,0.5087,NS,34
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,Hallmark,0.944,-1.172,0.7582,0.4489,NS,58
HALLMARK_APOPTOSIS,Apoptosis,Hallmark,1.135,0.948,0.4213,0.7303,NS,38
GOSLIM_RENAL_SYSTEM_PROCESS,Renal System Process,GO Slim,0.854,-1.207,0.7224,0.4474,NS,17
HALLMARK_P53_PATHWAY,p53 Pathway,Hallmark,0.733,1.323,0.9049,0.3897,NS,25
GOSLIM_DIGESTION,Digestion,GO Slim,1.204,0.807,0.3438,0.7854,NS,14
HALLMARK_DNA_REPAIR,DNA Repair,Hallmark,1.157,0.85,0.4213,0.7971,NS,31
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,Hallmark,-0.785,-1.191,0.8735,0.4764,NS,15
GOSLIM_MITOTIC_NUCLEAR_DIVISION,Mitotic Nuclear Division,GO Slim,1.098,-0.859,0.4426,0.7854,NS,41
GOSLIM_MUSCLE_SYSTEM_PROCESS,Muscle System Process,GO Slim,0.965,0.904,0.6875,0.7854,NS,135
GOSLIM_WOUND_HEALING,Wound Healing,GO Slim,0.912,-0.902,0.7224,0.7854,NS,73
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Hallmark,-0.598,-1.184,0.9982,0.429,NS,83
HALLMARK_IL2_STAT5_SIGNALING,IL2 Stat5 Signaling,Hallmark,0.851,0.905,0.836,0.7938,NS,28
HALLMARK_GLYCOLYSIS,Glycolysis,Hallmark,-0.66,-1.087,0.9982,0.5087,NS,64
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,Hallmark,-0.762,-0.975,0.9049,0.6939,NS,34
HALLMARK_PEROXISOME,Peroxisome,Hallmark,-0.879,-0.857,0.836,0.7971,NS,38
HALLMARK_COMPLEMENT,Complement,Hallmark,0.947,0.789,0.7582,0.8701,NS,42
GOSLIM_DNA_REPLICATION,DNA Replication,GO Slim,-0.691,1.045,0.9451,0.6395,NS,26
GOSLIM_GLYCOPROTEIN_METABOLIC_PROCESS,Glycoprotein Metabolic Process,GO Slim,0.886,-0.833,0.7224,0.7854,NS,23
HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,Hallmark,0.943,0.756,0.7582,0.8701,NS,20
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,Hallmark,0.805,0.757,0.8735,0.8701,NS,31
HALLMARK_E2F_TARGETS,E2F Targets,Hallmark,0.772,-0.756,0.9049,0.8701,NS,32
GOSLIM_PROTEIN_FOLDING,Protein Folding,GO Slim,2.344,1.789,4.396e-8,0.001629,Sig Both,87
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Hallmark,1.89,1.999,0.008941,0.006821,Sig Both,32
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,1.861,1.951,0.01632,0.006821,Sig Both,35
HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,1.687,1.698,0.005234,0.007309,Sig Both,128
GOSLIM_CYTOPLASMIC_TRANSLATION,Cytoplasmic Translation,GO Slim,1.385,2.584,0.07914,3.092e-12,Sig Old only,115
HALLMARK_SPERMATOGENESIS,Spermatogenesis,Hallmark,-1.584,-1.834,0.1378,0.04618,Sig Old only,12
GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,Establishment Or Maintenance Of Cell Polarity,GO Slim,1.518,1.828,0.07914,0.009379,Sig Old only,40
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,-1.343,-1.704,0.1459,0.006821,Sig Old only,109
GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Protein Localization To Plasma Membrane,GO Slim,1.332,1.693,0.1484,0.01569,Sig Old only,67
GOSLIM_RIBOSOME_BIOGENESIS,Ribosome Biogenesis,GO Slim,0.641,2.212,0.979,1.485e-5,Sig Old only,56
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,Amino Acid Metabolic Process,GO Slim,1.166,-1.606,0.306,0.009379,Sig Old only,99
GOSLIM_KETONE_METABOLIC_PROCESS,Ketone Metabolic Process,GO Slim,-1.002,-1.656,0.592,0.03367,Sig Old only,50
GOSLIM_DETOXIFICATION,Detoxification,GO Slim,-0.897,-1.589,0.7224,0.03108,Sig Old only,51
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,Extracellular Matrix Organization,GO Slim,-1.893,1.378,0.005274,0.1654,Sig Young only,39
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Generation Of Precursor Metabolites And En...,GO Slim,-2.135,0.891,2.198e-9,0.79,Sig Young only,222
GOSLIM_TRNA_METABOLIC_PROCESS,Trna Metabolic Process,GO Slim,1.996,1.002,0.001185,0.6395,Sig Young only,39
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Hallmark,-1.781,-1.124,0.01632,0.4903,Sig Young only,48
GOSLIM_MITOCHONDRION_ORGANIZATION,Mitochondrion Organization,GO Slim,-2.203,0.687,7.596e-9,0.9944,Sig Young only,163
HALLMARK_MYOGENESIS,Myogenesis,Hallmark,-1.743,-1.112,0.00721,0.4764,Sig Young only,103
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Hallmark,1.581,1.202,0.03682,0.4141,Sig Young only,86
GOSLIM_MICROTUBULE-BASED_MOVEMENT,Microtubule-Based Movement,GO Slim,1.842,0.879,0.004103,0.7854,Sig Young only,48
HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,Hallmark,-2.098,-0.619,6.608e-7,0.9998,Sig Young only,155
GOSLIM_CHROMOSOME_SEGREGATION,Chromosome Segregation,GO Slim,1.65,1.027,0.02276,0.6395,Sig Young only,52
