gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
ALDH1B1,1.2555,5.4496,0,0.001159,Up
CCDC137,-1.6782,4.1556,0,0.006126,Down
S100A13,1.2092,5.3065,0,0.001159,Up
SSU72,-0.9314,6.4167,1e-6,2.7e-4,Down
S100A4,1.0817,5.2458,2e-6,0.0012,Up
COL4A1,-1.436,3.7336,4e-6,0.00996,Down
FLT1,-1.6632,3.2796,4e-6,0.017343,Down
S100A6,1.2584,3.7246,2.1e-5,0.00996,Up
IFT81,-1.2969,3.5248,2.7e-5,0.011687,Down
PLEKHF1,-0.8051,4.53,2.25e-4,0.003282,Down
H1-0,-0.7195,5.0441,2.35e-4,0.001591,Down
COL4A2,-1.0712,3.3069,2.87e-4,0.016545,Down
UCHL1,0.9016,3.917,2.94e-4,0.008321,Up
COL1A2,-1.359,2.5005,4e-4,0.041717,Down
GPT2,1.872,1.7948,4.37e-4,0.105175,Up
SLC25A46,0.8812,3.7715,4.75e-4,0.009823,Up
MSN,0.4949,6.5591,5.67e-4,2.7e-4,Up
COL1A1,-1.197,2.6949,5.95e-4,0.034124,Down
FARSB,0.6285,5.1246,6.01e-4,0.001442,Up
TOMM22,-0.7784,4.1157,6.26e-4,0.006227,Down
GLRX3,0.5574,5.6729,6.89e-4,8.98e-4,Up
DYNC1LI1,0.6541,4.8201,7.03e-4,0.001999,Up
DYNC1H1,0.4449,6.8691,8.79e-4,2.7e-4,Up
VARS1,0.5164,5.8738,9.26e-4,7.06e-4,Up
ART3,-0.7642,3.8996,0.001047,0.008321,Down
COL3A1,-1.1658,2.5005,0.001215,0.041717,Down
XIRP1,-0.8717,3.3324,0.001245,0.016113,Down
CTSG,-2.0953,1.3838,0.00126,0.189825,Down
MYL2,-0.9503,3.0048,0.001395,0.022946,Down
CARNS1,0.7943,3.5274,0.0015790000000000001,0.011687,Up
RPA2,-0.9583,2.9047,0.001646,0.02658,Down
NDUFA3,-0.6511,4.2275,0.001767,0.005688,Down
FSCN1,0.709,3.8733,0.001794,0.008573,Up
EZR,0.7289,3.7645,0.001803,0.009823,Up
RPS11,0.4924,5.3512,0.002318,0.001159,Up
ADH1B,-0.8557,3.0031,0.002692,0.022946,Down
SERPINH1,0.9777,2.6112,0.0028,0.036944,Up
LAMC1,-0.8487,2.9774,0.002972,0.023681,Down
GNAS,-0.4918,4.9373,0.003732,0.001744,Down
MSRB3,-1.2083,2.0049,0.003779,0.077859,Down
JPT2,0.9033,2.6509,0.004031,0.035749,Up
FBN1,-0.8203,2.89,0.004258,0.027223,Down
MYL3,-0.8904,2.5637,0.005216,0.038467,Down
PSME2,0.6118,3.6677,0.005705,0.010322,Up
AKR1C3,0.6694,3.3505,0.005719,0.015713,Up
SLC20A2,-1.1463,1.9391,0.005986,0.084994,Down
CCT6A,0.4038,5.4127,0.006518,0.001159,Up
UBN2,-1.0031,2.1689,0.006674,0.064804,Down
MYH3,-1.1506,1.8893,0.006701,0.091771,Down
NFIC,-0.5819,3.7354,0.006703,0.00996,Down
HSPB6,0.6109,3.5497,0.006786,0.011687,Up
TUBB6,0.613,3.4729,0.007431,0.012701,Up
SNU13,-0.508,4.1762,0.007561,0.006124,Down
DYNLT1,0.4335,4.7799,0.008468,0.002063,Up
MYLK,-0.7289,2.8243,0.008735,0.028789,Down
PSME1,0.3948,4.9556,0.011052,0.001744,Up
HPRT1,0.5482,3.4431,0.012958,0.013242,Up
DYNC1I2,0.3792,4.8988,0.013879,0.001778,Up
H3-3A,-0.7906,2.2987,0.01523,0.05494,Down
MAOA,-0.5078,3.5637,0.015495,0.011687,Down
MYBPH,1.0138,1.7841,0.015531,0.106222,Up
NID1,-0.7647,2.3586,0.015716,0.051125,Down
USP9X,0.4173,4.2893,0.016221,0.005169,Up
NDUFS7,-0.564,3.1296,0.017172,0.019029,Down
CBR1,0.4263,4.1398,0.017187,0.006126,Up
S100A11,0.544,3.2416,0.01724,0.017556,Up
NDUFB7,-0.5358,3.2271,0.018655,0.017643,Down
COX7B,-0.601,2.8535,0.019281,0.028045,Down
MGST3,-0.4589,3.6913,0.020239,0.010241,Down
NDUFB6,-0.5514,3.0592,0.02056,0.021193,Down
HSPB1,0.5302,3.1801,0.020597,0.018847,Up
NDUFA6,-0.5195,3.2003,0.021748,0.018506,Down
MAOB,-0.424,3.9116,0.021961,0.008321,Down
UBE2B,-0.6201,2.6125,0.023993,0.036944,Down
NDUFV2,-0.4563,3.4808,0.025808,0.012699,Down
CD81,-0.6933,2.2573,0.027233,0.056723,Down
DCTN5,0.5467,2.8623,0.027242,0.028016,Up
EMD,-0.4248,3.6749,0.027478,0.010322,Down
TNNC1,-0.7281,2.1332,0.027977,0.067325,Down
