consolidated,n_genes
Metabolism,56
Gene Expression,35
Transport,25
ECM & Adhesion,23
Other,23
Protein Homeostasis,21
Cytoskeleton & Motility,19
DNA & Cell Cycle,12
Muscle & Contractile,11
Mitochondria & Energy,8
Immune & Inflammation,8
Development,5
