"contrast","database","n_sig","n_up","n_down","median_NES","mean_NES","sd_NES","min_padj","median_padj"
"Aging","BioCarta",1,0,1,-1.88066241170616,-1.88066241170616,NA,0.0254250680100816,0.0254250680100816
"Aging","GO:BP",61,29,32,-1.71516524447786,-0.0934597027037515,2.16822399085343,1.2782198219973e-16,0.00369990800009463
"Aging","Hallmark",6,5,1,1.92084488454841,1.3348250472751,1.58228833177356,3.72945103480424e-06,0.000582074473985517
"Aging","KEGG",16,3,13,-2.30057916033733,-1.3733190932308,1.7737519322006,1.05151754196161e-15,7.98336490340164e-06
"Aging","Reactome",139,16,123,-2.18726190631861,-1.712086208198,1.35809731519171,3.59228514297631e-22,5.73544726975527e-05
"Aging","WikiPathways",18,13,5,1.94321049673078,0.860852713773909,2.01809827121902,5.85624211434819e-15,0.00173566388732533
"Interaction","BioCarta",1,0,1,-1.97051752779371,-1.97051752779371,NA,0.017881043633165,0.017881043633165
"Interaction","GO:BP",72,36,36,0.095658679283189,0.237151313378366,2.16929011606139,3.38586242380701e-24,0.011287755720724
"Interaction","Hallmark",4,3,1,1.93511374003904,1.11428933376247,1.84070260743295,6.75207972403989e-09,0.00283993969290463
"Interaction","KEGG",20,10,10,-0.00875116663987718,0.300444807454342,2.49068432597471,1.69759724421373e-20,4.94869643025955e-05
"Interaction","PID",4,3,1,2.01991112316013,1.07201365328522,1.97317636741612,0.00137305331649829,0.00590787593870332
"Interaction","Reactome",182,42,140,-1.86080551101478,-1.04524347816857,1.65976173422696,3.4384691801068e-27,0.0011398381436098
"Interaction","WikiPathways",20,12,8,1.86262102804777,0.596081187438478,2.15245366373994,7.12826989484258e-21,0.00550893529547781
"Training_Old","GO:BP",23,16,7,1.96302751927378,0.844720779000254,1.87291359461005,1.04256618479903e-10,0.0229477618718848
"Training_Old","Hallmark",5,3,2,1.71556447646976,0.426475072100681,2.0099101594905,0.00657826398212096,0.00657826398212096
"Training_Old","KEGG",6,6,0,1.92645343102706,2.05852679303322,0.368258320253495,2.54292738308433e-13,0.0134634164908814
"Training_Old","Reactome",44,36,8,1.90218850186217,1.45601885777661,1.62011354893427,5.33923661104029e-13,0.00496502289527489
"Training_Old","WikiPathways",7,4,3,1.81016598340613,0.355306333240461,2.24509331465023,1.12529486443703e-12,0.00264504597692513
"Training_Young","BioCarta",1,1,0,1.94493001246537,1.94493001246537,NA,0.0147043267215222,0.0147043267215222
"Training_Young","GO:BP",80,45,35,1.82466621897295,0.107793396372873,2.19479590434317,6.9953979972287e-22,0.00105911785647237
"Training_Young","Hallmark",10,5,5,0.0851575590846455,-0.0344037450707313,1.92058222017855,1.11143505126149e-08,0.00724871697169619
"Training_Young","KEGG",26,17,9,1.87232501278943,0.398641718073975,2.44125183697181,8.23425830871115e-22,1.40179851335207e-06
"Training_Young","PID",2,1,1,-0.0668450630664174,-0.0668450630664174,2.85734404523162,0.00751461770232926,0.0147098209074891
"Training_Young","Reactome",223,188,35,1.9358134348643,1.38952680863938,1.47171956283265,6.54158022224852e-21,0.000516076586609074
"Training_Young","WikiPathways",16,7,9,-1.98065017031993,-0.466484147598501,2.35038755720194,6.6844820145819e-19,0.000506011333741781
