"subject","age","response_mag","response_dir"
"OP_S06","Old",0.277214190635733,0.00521495420505858
"OP_S11","Old",0.243730795734709,0.0149628997014224
"OP_S12","Old",0.176777391011315,0.0003862020613834
"OP_S17","Old",0.170338997120401,-0.00148183803875668
"O_S05","Old",0.341368458215362,-0.0502065593669929
"O_S06","Old",0.397952217739888,-0.00425092419409445
"O_S07","Old",0.362379673709682,-0.0504765766130948
"O_S10","Old",0.269190661457616,0.0169808088330932
"O_S16","Old",0.199294815856511,-0.00885937364193801
"O_S17","Old",0.225514907641996,-0.0166884186629837
"O_S24","Old",0.309584668423046,0.00520885224253931
"O_S28","Old",0.241717907161002,0.0159189310117149
"O_S29","Old",0.380353708911143,0.0184732373238994
"O_S32","Old",0.276097272494141,0.0254228238874692
"O_S35","Old",0.376024608341574,0.00947008684186024
"YP_S14","Young",0.322906526626891,0.00222042324294769
"YP_S45","Young",0.213057836534041,-0.0139925056149401
"YP_S56","Young",0.320091786225026,0.00147858264298861
"Y_S01","Young",0.297816711894633,-0.000131345845053588
"Y_S07","Young",0.279423116890463,-0.0445632774583888
"Y_S10","Young",0.325915881352332,-0.0568509528694179
"Y_S11","Young",0.379306677765621,-0.0482993655855211
"Y_S16","Young",0.175186894868331,0.00956004148463308
"Y_S28","Young",0.256765164771324,0.0205705056742378
"Y_S30","Young",0.273667523966546,0.0282841775039451
"Y_S31","Young",0.374947162513342,-0.0490627925865201
"Y_S32","Young",0.243016863097832,0.00833647515323932
"Y_S34","Young",0.323303118346649,-0.0639968328237401
"Y_S35","Young",0.274673043500457,0.00223224570611968
"Y_S36","Young",0.210864522359318,-0.00309315923079723
"Y_S40","Young",0.369105564107377,-0.0453024301396372
