pathway,pval,padj,log2err,ES,NES,size,leadingEdge,contrast,database
GOBP_CYTOPLASMIC_TRANSLATION,6.224535336400615e-20,7.550361363053945e-17,1.1512205221422571,-0.6414888459535454,-2.9105886042670694,116,RPS7;RPS10;RPL24;EIF3C;RPS27A;RPL23A;RPL22;RPS23;RPL38;RPS3A;YBX3;RPL27A;RPL17;EIF3G;RPS19;RPL23;RPL34;RPS27;RPS24;RPL10;RPL35;EEF2;RPL31;EIF2B1;EIF3M;RPS5;RPS25;RPL37A;EIF2S3;RPS20;RPL35A;RPL19;RPS15;RPL30;EIF5;RPL28;RPS3;EIF3D;EIF4A1;RPS21;RPS2;RPS14;RPS17;RPL32;RPLP1;EIF3A;RPL5;RPS12;RPL26;RPL36;RPL6;RPS18;RPL7A;RPLP0;RPS13;RPL29;EIF3J;EIF3I;DRG2;RACK1;EIF3K;RPLP2;RPL18A;RPL11;EIF3L;RPS26;EIF3B;RPS16;RPL13A;EEF1D;AKT2;CSDE1;RPL3;RPL14;RPL13;YBX1;RPS8;RPS4X;RPL4;RPL12;RPSA;RPL10A,Aging,GO:BP
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,1.3137311973987098e-14,7.967779712223176e-12,0.9865462835875821,0.6341527175984119,2.7300954465119687,86,HMGCL;HADHA;DCXR;ACADM;HADHB;ALDH5A1;ECHS1;ACAT1;CRAT;ALDH6A1;ETFB;ETFA;MPST;HADH;ALDH4A1;ECI1;MCCC1;CPT2;PCCB;TST;ACAA2;ECH1;FAH;PCCA;IVD;ACAD8;ACADS;GPT2;ACADSB;MCEE;ADIPOQ;ACADVL;ECI2;DBT;RIDA;MLYCD;NAGK;HIBADH;GCDH;PLIN5;SLC16A1;CPT1B;GPT;GOT2;GLUL;ACAA1;BCAT2,Aging,GO:BP
GOBP_FATTY_ACID_CATABOLIC_PROCESS,1.4226235071815776e-11,3.4512846284225073e-9,0.8753251320246591,0.7481020808967892,2.706435571143295,37,HADHA;ACADM;HADHB;ECHS1;ACAT1;CRAT;ETFB;ETFA;HADH;ECI1;CPT2;PCCB;ACAA2;ECH1;PCCA;IVD;ACADS;MCEE;ADIPOQ;ACADVL;ECI2;MLYCD;GCDH;PLIN5;CPT1B,Aging,GO:BP
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,1.244459007780165e-11,3.4512846284225073e-9,0.8753251320246591,-0.5482499129876417,-2.4825849098880926,114,OBSCN;SYNPO2L;PLEC;TTN;SQSTM1;LMOD2;NEB;MYOM2;MYOM3;RPL24;MYBPH;MYOM1;FLNC;RPS23;RPL38;TPM1;ACTN2;KPNB1;NRAP;CAPN3;FLNA;TNNT3;MYOZ1;RPS19;CAPRIN1;RPS27;MAPT;TMOD4;MSN;RPS5;MYH3;EZR;MYBPC2;RPS15;CSRP1;EIF5;RPS3;DYNC1H1;RPS14;TCAP;DDX3X;EIF2A;WDR1;LMOD3;RPL5;ACTA1;MAPRE1;CSRP3;TMOD1;CASQ1;KLHL41;UBAP2L;MYPN;TNNT1;MAPRE3;RPL11;C1QBP,Aging,GO:BP
GOBP_MUSCLE_CELL_DEVELOPMENT,1.0906955234036472e-11,3.4512846284225073e-9,0.8753251320246591,-0.6230633605361731,-2.6156802382195496,75,OBSCN;SYNPO2L;PLEC;TTN;LMOD2;NEB;MYOM2;MYOM3;MYBPH;MYOM1;FLNC;PDLIM5;ACTN4;KLHL40;TPM1;ACTN1;ACTN2;NRAP;CAPN3;ACTN3;TNNT3;MYOZ1;NACA;UCHL1;TMOD4;ALPK3;MYH3;MYBPC2;CSRP1;SYPL2;TCAP;CACNA1S;LMNA;WDR1;LMOD3;ACTA1;CSRP3;STAC3;TMOD1;CASQ1;KLHL41;MYPN;TNNT1,Aging,GO:BP
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,1.8584626160329106e-11,3.757191922079868e-9,0.8634153916066928,0.5234748617387801,2.4072307953734433,126,HMGCL;HADHA;DCXR;ACADM;HADHB;ALDH5A1;ECHS1;ACAT1;CRAT;ALDH6A1;ETFB;ETFA;MPST;HADH;ALDH4A1;ECI1;MCCC1;CPT2;PCCB;TST;ACAA2;ECH1;FAH;GALK1;PCCA;IVD;ACAD8;ALDH2;ACADS;GPT2;ACADSB;MCEE;ADIPOQ;ACADVL;ECI2;DBT;RIDA;MLYCD;NAGK;ACSS2;HIBADH;NUDT3;GCDH;HAGH;PLIN5;SLC16A1;CPT1B;GSK3A,Aging,GO:BP
GOBP_LIPID_OXIDATION,6.139770356186526e-11,9.309426802567821e-9,0.8390889356212738,0.7364849517134961,2.664407868695868,37,HADHA;ACADM;HADHB;ECHS1;ACAT1;CRAT;ETFB;ETFA;HADH;ECI1;CPT2;ACAA2;ECH1;IVD;ACADS;ADIPOQ;ACADVL;ECI2;MLYCD;GCDH;PLIN5;CPT1B;FABP3,Aging,GO:BP
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT,5.7576191732402796e-11,9.309426802567821e-9,0.851339057116899,-0.47841426179426694,-2.2740592961413526,159,OBSCN;SYNPO2L;PLEC;TTN;LMOD2;NEB;SPEG;DES;MYOM2;MYOM3;FLNB;MYBPH;MYOM1;FLNC;PDLIM5;MUSTN1;ACTN4;KLHL40;SPAG9;TPM1;ACTN1;ACTN2;NRAP;YBX3;CAPN3;ACTN3;TNNT3;MYOZ1;NACA;FHL3;SMTN;UCHL1;EEF2;TMOD4;ALPK3;MYH3;XIRP1;MYBPC2;SVIL;JPH2;CSRP1;SYPL2;ACTB;TCAP;CACNA1S;LMNA;COL3A1;WDR1;LMOD3;PDLIM7;JPH1;ACTA1;UTRN;CSRP3;STAC3;HSPB2;LAMA2;TMOD1;CASQ1;ERO1A;KLHL41;MYPN;H3-3A;TNNT1;CD81;MYH7;RYR1,Aging,GO:BP
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,9.193907379110092e-11,1.2391344056511713e-8,0.8390889356212738,0.6978178534574146,2.6647446074983505,46,HADHA;DCXR;ACADM;HADHB;ECHS1;ACAT1;CRAT;ETFB;ETFA;HADH;ECI1;CPT2;PCCB;ACAA2;ECH1;FAH;PCCA;IVD;ACADS;MCEE;ADIPOQ;ACADVL;ECI2;MLYCD;GCDH;PLIN5;SLC16A1;CPT1B,Aging,GO:BP
GOBP_FATTY_ACID_BETA_OXIDATION,1.860924688254034e-10,2.257301646852143e-8,0.826657301178302,0.7616933726141266,2.6614795114060987,32,HADHA;ACADM;HADHB;ECHS1;ACAT1;CRAT;ETFB;ETFA;HADH;ECI1;CPT2;ACAA2;ECH1;IVD;ACADS;ADIPOQ;ACADVL;ECI2;MLYCD;GCDH;PLIN5;CPT1B,Aging,GO:BP
