"group","med","ci_lo","ci_hi"
"Young_Pre",24.2432816648784,23.6733506407592,24.7547482843055
"Young_Post",25.8054095309252,24.9722114081883,26.5054347068952
"Old_Pre",24.8882787517366,24.2322923062932,25.6695275341004
"Old_Post",22.7760101286285,22.3182183708491,23.2860537416125
