gene,pathway,database,module
GCLM,Unmapped,NA,green
SSR4,Unmapped,NA,green
BGN,Unmapped,NA,green
OSBPL1A,Unmapped,NA,green
UBE2L3,Unmapped,NA,green
ART3,Unmapped,NA,green
HNRNPA2B1,Unmapped,NA,green
AGL,Unmapped,NA,green
PLCL1,Unmapped,NA,green
SYNGR2,Unmapped,NA,green
PHKB,Unmapped,NA,green
CZIB,Unmapped,NA,green
MYCBP,Unmapped,NA,green
EML1,Unmapped,NA,green
MIEN1,Unmapped,NA,green
CACNB1,Unmapped,NA,green
LUM,Unmapped,NA,green
EIF6,Unmapped,NA,green
GNAS,Unmapped,NA,green
MTARC2,Unmapped,NA,green
HNRNPA3,Unmapped,NA,green
COL18A1,Unmapped,NA,green
C11orf54,Unmapped,NA,green
DENND5A,Unmapped,NA,green
RPL23A,cytoplasmic translation,GO:BP,black
RPL17,cytoplasmic translation,GO:BP,black
RPL37A,cytoplasmic translation,GO:BP,black
RPL22,cytoplasmic translation,GO:BP,black
RPL19,cytoplasmic translation,GO:BP,black
RPL5,cytoplasmic translation,GO:BP,black
RPL28,cytoplasmic translation,GO:BP,black
MYO18A,Unmapped,NA,black
PRKRA,ribonucleoprotein complex biogenesis,GO:BP,black
PA2G4,translation,GO:BP,black
RPL10A,cytoplasmic translation,GO:BP,black
RPLP2,cytoplasmic translation,GO:BP,black
RPLP0,cytoplasmic translation,GO:BP,black
RPS18,cytoplasmic translation,GO:BP,black
CAPRIN1,translation,GO:BP,black
RPL7,cytoplasmic translation,GO:BP,black
RPL13A,cytoplasmic translation,GO:BP,black
RPL10,cytoplasmic translation,GO:BP,black
RACK1,cytoplasmic translation,GO:BP,black
RPL7A,cytoplasmic translation,GO:BP,black
MYPN,Unmapped,NA,black
RPS3A,cytoplasmic translation,GO:BP,black
RPL14,cytoplasmic translation,GO:BP,black
RPL6,cytoplasmic translation,GO:BP,black
RPL13,cytoplasmic translation,GO:BP,black
RPL4,cytoplasmic translation,GO:BP,black
RPL12,cytoplasmic translation,GO:BP,black
RTCB,Unmapped,NA,black
RPL29,cytoplasmic translation,GO:BP,black
TRDN,Unmapped,NA,black
RPL11,cytoplasmic translation,GO:BP,black
RPL3L,translation,GO:BP,black
RPL35,cytoplasmic translation,GO:BP,black
RPL36AL,translation,GO:BP,black
RPL32,cytoplasmic translation,GO:BP,black
RPL30,cytoplasmic translation,GO:BP,black
RPL8,cytoplasmic translation,GO:BP,black
MYOT,Unmapped,NA,black
RPL18A,cytoplasmic translation,GO:BP,black
RPL15,cytoplasmic translation,GO:BP,black
RPS4X,cytoplasmic translation,GO:BP,black
RPL18,cytoplasmic translation,GO:BP,black
RPL26,cytoplasmic translation,GO:BP,black
RPS21,cytoplasmic translation,GO:BP,black
RPL36,cytoplasmic translation,GO:BP,black
RPLP1,cytoplasmic translation,GO:BP,black
RPS8,cytoplasmic translation,GO:BP,black
RPS20,cytoplasmic translation,GO:BP,black
RPS25,cytoplasmic translation,GO:BP,black
PELO,translation,GO:BP,black
RPS5,cytoplasmic translation,GO:BP,black
RPS6,cytoplasmic translation,GO:BP,black
FXR1,translation,GO:BP,black
RPSA,cytoplasmic translation,GO:BP,black
NEXN,Unmapped,NA,black
RPS16,cytoplasmic translation,GO:BP,black
RPL24,cytoplasmic translation,GO:BP,black
EIF3D,cytoplasmic translation,GO:BP,black
ERLIN2,Unmapped,NA,black
MMGT1,Unmapped,NA,black
RPL27A,cytoplasmic translation,GO:BP,black
RPS17,cytoplasmic translation,GO:BP,black
RPS19,cytoplasmic translation,GO:BP,black
RPS3,cytoplasmic translation,GO:BP,black
RPL3,cytoplasmic translation,GO:BP,black
RPL23,cytoplasmic translation,GO:BP,black
LDB3,Unmapped,NA,black
PURB,translation,GO:BP,black
VAPA,Unmapped,NA,black
DDX3X,translation,GO:BP,black
EIF3B,cytoplasmic translation,GO:BP,black
CSNK2A1,translation,GO:BP,black
RPL31,cytoplasmic translation,GO:BP,black
RPS15A,cytoplasmic translation,GO:BP,black
LASP1,Unmapped,NA,black
RPL35A,cytoplasmic translation,GO:BP,black
PALLD,Unmapped,NA,black
MAP1LC3B2,Unmapped,NA,black
RPS15,cytoplasmic translation,GO:BP,black
RPS12,cytoplasmic translation,GO:BP,black
EIF3I,cytoplasmic translation,GO:BP,black
SFPQ,Unmapped,NA,black
CSDE1,cytoplasmic translation,GO:BP,black
RPS14,cytoplasmic translation,GO:BP,black
JPH1,Unmapped,NA,black
RPS9,cytoplasmic translation,GO:BP,black
MVP,Unmapped,NA,black
HDLBP,Unmapped,NA,black
SYNCRIP,cytoplasmic translation,GO:BP,black
EIF2S2,cytoplasmic translation,GO:BP,black
NMT1,Unmapped,NA,black
SERBP1,translation,GO:BP,black
YBX1,cytoplasmic translation,GO:BP,black
CD99,Unmapped,NA,black
PURA,translation,GO:BP,black
EIF2S1,translation,GO:BP,black
TWF2,Unmapped,NA,black
ACTR1A,Unmapped,NA,black
DDRGK1,translation,GO:BP,black
RBL1,Unmapped,NA,black
NPM1,translation,GO:BP,black
SND1,Unmapped,NA,black
EIF3A,cytoplasmic translation,GO:BP,black
EIF3F,cytoplasmic translation,GO:BP,black
STIM1,Unmapped,NA,black
G3BP1,Unmapped,NA,black
EIF2B3,cytoplasmic translation,GO:BP,black
CAMK2A,Unmapped,NA,black
SRSF1,ribonucleoprotein complex biogenesis,GO:BP,black
MYO6,Unmapped,NA,black
GSTM1,Unmapped,NA,black
FUS,Unmapped,NA,black
TECR,Unmapped,NA,black
CAMK2G,Unmapped,NA,black
HGS,Unmapped,NA,black
CCDC124,Unmapped,NA,black
RPN1,Unmapped,NA,black
NONO,Unmapped,NA,black
ABCF1,translation,GO:BP,black
SRL,Unmapped,NA,black
EIF3H,cytoplasmic translation,GO:BP,black
CKAP4,Unmapped,NA,black
APOBEC2,Unmapped,NA,black
GSN,Unmapped,NA,black
CAPN3,Unmapped,NA,black
UNC45B,Unmapped,NA,black
EIF1AX,translation,GO:BP,black
HNRNPA1,Unmapped,NA,black
DCTN1,Unmapped,NA,black
SPTBN1,Unmapped,NA,black
EIF3E,cytoplasmic translation,GO:BP,black
ANK3,Unmapped,NA,black
SERPINH1,Unmapped,NA,black
EDF1,Unmapped,NA,black
CFL2,Unmapped,NA,black
PDAP1,Unmapped,NA,black
EIF4G2,translation,GO:BP,black
SPTAN1,Unmapped,NA,black
RABL3,Unmapped,NA,black
C3,immunoglobulin mediated immune response,GO:BP,pink
SERPINA3,Unmapped,NA,pink
ITIH4,Unmapped,NA,pink
ALB,Unmapped,NA,pink
HBA1,Unmapped,NA,pink
CLU,immunoglobulin mediated immune response,GO:BP,pink
CP,Unmapped,NA,pink
CFB,complement activation,GO:BP,pink
SERPING1,immunoglobulin mediated immune response,GO:BP,pink
HBB,Unmapped,NA,pink
TF,Unmapped,NA,pink
SERPINA1,Unmapped,NA,pink
ZRANB2,Unmapped,NA,pink
CFH,complement activation,GO:BP,pink
CAT,Unmapped,NA,pink
SPRED2,Unmapped,NA,pink
SYNJ2,Unmapped,NA,pink
HP,Unmapped,NA,pink
LTBP3,Unmapped,NA,pink
CDC34,Unmapped,NA,pink
MCM5,Unmapped,NA,pink
PAFAH2,Unmapped,NA,pink
ANK1,Unmapped,NA,pink
IGHG1,immunoglobulin mediated immune response,GO:BP,pink
SNCA,Unmapped,NA,pink
IGHA1,immunoglobulin mediated immune response,GO:BP,pink
AZGP1,Unmapped,NA,pink
IGLC3,immunoglobulin mediated immune response,GO:BP,pink
EPHA2,Unmapped,NA,pink
STOM,Unmapped,NA,pink
IGKC,immunoglobulin mediated immune response,GO:BP,pink
A2M,complement activation,GO:BP,pink
BPGM,Unmapped,NA,pink
IGHV3-7,immunoglobulin mediated immune response,GO:BP,pink
TTR,Unmapped,NA,pink
HUWE1,Unmapped,NA,pink
SERPINF2,Unmapped,NA,pink
BLVRB,Unmapped,NA,pink
ORM1,Unmapped,NA,pink
RBP4,Unmapped,NA,pink
IGLC2,immunoglobulin mediated immune response,GO:BP,pink
DEFA3,Unmapped,NA,pink
EPB41,Unmapped,NA,pink
AGT,Unmapped,NA,pink
IGHM,Unmapped,NA,pink
IGKV3-20,Unmapped,NA,pink
CLEC3B,Unmapped,NA,pink
NUP133,Unmapped,NA,pink
PRDX2,Unmapped,NA,pink
TKT,Unmapped,NA,pink
IGHG2,immunoglobulin mediated immune response,GO:BP,pink
SH3BGRL3,Unmapped,NA,pink
ADIRF,Unmapped,NA,pink
ALAD,Unmapped,NA,pink
LRG1,Unmapped,NA,pink
TALDO1,Unmapped,NA,pink
APOC2,Unmapped,NA,pink
PGD,Unmapped,NA,pink
KLHDC8B,Unmapped,NA,pink
APOE,Unmapped,NA,pink
EFEMP1,Unmapped,NA,pink
TMEM198,Unmapped,NA,pink
FABP5,Unmapped,NA,pink
LXN,Unmapped,NA,pink
FAH,Unmapped,NA,pink
COL14A1,Unmapped,NA,pink
SPTB,Unmapped,NA,pink
MPP1,Unmapped,NA,pink
SERPINF1,Unmapped,NA,pink
CA2,Unmapped,NA,pink
NME1,Unmapped,NA,pink
SNAP29,Unmapped,NA,pink
PLPBP,Unmapped,NA,pink
ADH1B,Unmapped,NA,pink
HDHD2,Unmapped,NA,pink
DDAH2,Unmapped,NA,pink
PPIA,Unmapped,NA,pink
PTER,Unmapped,NA,pink
APOD,Unmapped,NA,pink
ALDH9A1,Unmapped,NA,pink
GLOD4,Unmapped,NA,pink
TXNDC12,Unmapped,NA,pink
PPM1A,Unmapped,NA,pink
ARHGDIA,Unmapped,NA,pink
IGHG3,immunoglobulin mediated immune response,GO:BP,pink
PPP1R2,Unmapped,NA,pink
MAP2K2,Unmapped,NA,pink
SH3BGRL,Unmapped,NA,pink
MT2A,Unmapped,NA,pink
MIF,Unmapped,NA,pink
MYH9,Unmapped,NA,pink
ABHD14B,Unmapped,NA,pink
PEBP1,Unmapped,NA,pink
MARCKS,Unmapped,NA,pink
