subject,age,ME,delta_VL
OP_S06,Old,0.21146229089020888,0.16999999999999993
OP_S11,Old,-0.11975393064665174,0.15999999999999992
OP_S12,Old,-0.0319563590412473,0.31000000000000005
OP_S17,Old,-0.030954752616818838,-0.1200000000000001
O_S05,Old,-0.2173224081599901,0.3599999999999999
O_S06,Old,-0.14320136205295994,0.22999999999999998
O_S07,Old,-0.049786249660001024,0.28
O_S10,Old,0.07300109603910829,0.13000000000000012
O_S16,Old,-0.09723650224958535,0.10999999999999988
O_S17,Old,-0.09530446573254489,0.3200000000000003
O_S24,Old,-0.2810300732469763,0.24
O_S28,Old,0.08233572502386725,0.46999999999999975
O_S29,Old,-0.10392487939618136,0.25
O_S32,Old,-0.23751568983188218,-0.04999999999999982
O_S35,Old,-0.14406058213420572,0.20999999999999996
YP_S14,Young,0.12806765916410834,0.8800000000000001
YP_S45,Young,0.29281150453820226,0.08000000000000007
YP_S56,Young,-0.08167413666930969,0.9700000000000002
Y_S01,Young,0.1547603005024375,0.43000000000000016
Y_S07,Young,0.009555438755433401,0.8
Y_S10,Young,0.14721406364640563,0.49
Y_S11,Young,-0.002876434333263733,0.77
Y_S16,Young,0.09652813373276817,0.18999999999999995
Y_S28,Young,0.1302919991495847,0.26000000000000023
Y_S30,Young,0.10421739423367975,0.5199999999999998
Y_S31,Young,0.11987414836422594,0.8200000000000001
Y_S32,Young,0.011315871023272505,0.43000000000000016
Y_S34,Young,0.03575544719298011,0.26000000000000023
Y_S35,Young,0.14162310892670993,0.1299999999999999
Y_S36,Young,0.17298091446454986,0.20000000000000018
Y_S40,Young,0.11115165461538064,0.1299999999999999
