module,database,ID,Description,GeneRatio,pvalue,p.adjust,Count
blue,Hallmark,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,38/155,2.183632724397204e-12,8.516167625149094e-11,38
blue,Hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,48/155,3.187663208192235e-8,6.215943255974858e-7,48
blue,Hallmark,HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,31/155,1.140148601655521e-4,0.0014821931821521774,31
blue,GO:BP,GO:0016054,organic acid catabolic process,52/285,3.83316846581897e-26,3.5878456840065556e-23,52
blue,GO:BP,GO:0046395,carboxylic acid catabolic process,52/285,3.83316846581897e-26,3.5878456840065556e-23,52
blue,GO:BP,GO:0019752,carboxylic acid metabolic process,92/285,2.6203893507762485e-24,1.3127885113742398e-21,92
blue,GO:BP,GO:0043436,oxoacid metabolic process,93/285,3.1134380026289283e-24,1.3127885113742398e-21,93
red,Hallmark,HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,29/62,7.56546915238187e-15,2.4209501287621985e-13,29
red,GO:BP,GO:0030029,actin filament-based process,45/120,1.8630640261912302e-19,2.7088950940820487e-16,45
red,GO:BP,GO:0055001,muscle cell development,29/120,3.0675035136938783e-18,1.7127864962217314e-15,29
red,GO:BP,GO:0030239,myofibril assembly,23/120,3.5339473787243424e-18,1.7127864962217314e-15,23
red,GO:BP,GO:0055002,striated muscle cell development,27/120,9.456145800634813e-18,3.4373089985307545e-15,27
