uniprot_id,module,kME,GS,GS_pheno,gene,functional_group
P38117,blue,0.9042932140154667,-0.27268446968386384,Type II fCSA,ETFB,Organic acid catabolism
P48735,blue,0.8929979929184293,-0.3491461074718696,Type II fCSA,IDH2,Carboxylic acid metabolism
P43155,blue,0.8835368797832435,-0.31637139043488066,Type II fCSA,CRAT,Organic acid catabolism
O95822,blue,0.8822600227646561,-0.3884986819210539,Type II fCSA,MLYCD,Organic acid catabolism
P13804,blue,0.8751380068942318,-0.2740538317954796,Type II fCSA,ETFA,Organic acid catabolism
P51649,blue,0.8713203430622155,-0.2820364210227984,Type II fCSA,ALDH5A1,Organic acid catabolism
P35914,blue,0.865112515933666,-0.44666860358798793,Type II fCSA,HMGCL,Organic acid catabolism
Q16762,blue,0.8478112516927954,-0.2692561989546432,Type II fCSA,TST,Organic acid catabolism
P07954,blue,0.8444915982888322,-0.2635509035286422,Type II fCSA,FH,Carboxylic acid metabolism
Q9Y3D2,blue,0.8432864021317327,-0.37467082731769363,Type II fCSA,MSRB2,Other
Q9P0J1,blue,0.8396065234543292,-0.4709660671659347,Type II fCSA,PDP1,Other
Q99798,blue,0.835191252524038,-0.2932955758392484,Type II fCSA,ACO2,Carboxylic acid metabolism
P30405,blue,0.8303706478123817,-0.13084518168234724,Type II fCSA,PPIF,Other
Q16595,blue,0.8187011423558859,-0.23593371475635355,Type II fCSA,FXN,Other
Q5HYK3,blue,0.8159011111970338,-0.19831341238608435,Type II fCSA,COQ5,Small molecule metabolism
P05166,blue,0.8138986353624393,-0.2615253010958149,Type II fCSA,PCCB,Organic acid catabolism
P30084,blue,0.808463884747874,-0.38131257941034263,Type II fCSA,ECHS1,Organic acid catabolism
Q99807,blue,0.8080681628218537,-0.4249258683245868,Type II fCSA,COQ7,Small molecule metabolism
P00505,blue,0.8050872156692241,-0.09907311166604191,Type II fCSA,GOT2,Organic acid catabolism
P42765,blue,0.8010383709890584,-0.09368917247537041,Type II fCSA,ACAA2,Organic acid catabolism
A3KMH1,blue,0.7983990566913981,-0.4096124627501355,Type II fCSA,VWA8,Other
P24752,blue,0.7950328022814765,-0.5023936735140636,Type II fCSA,ACAT1,Organic acid catabolism
Q9NSE4,blue,0.7895827133153557,-0.13316632287958827,Type II fCSA,IARS2,Other
Q96RQ3,blue,0.7888771914309328,-0.22630936278781616,Type II fCSA,MCCC1,Organic acid catabolism
Q9UKU7,blue,0.7854538957196303,-0.40927226069225503,Type II fCSA,ACAD8,Organic acid catabolism
P55084,blue,0.7810182214345235,-0.27021967447229794,Type II fCSA,HADHB,Organic acid catabolism
Q9Y5J7,blue,0.7745697313564571,-0.3855000131485833,Type II fCSA,TIMM9,Other
Q9BSH4,blue,0.77081207168165,-0.1250970778160478,Type II fCSA,TACO1,Other
Q13011,blue,0.7707948823101161,-0.12390845064731723,Type II fCSA,ECH1,Organic acid catabolism
Q8NI60,blue,0.7690141574543236,-0.2881827222768521,Type II fCSA,COQ8A,Small molecule metabolism
Q00765,brown,0.8941863517025564,0.22898702203874996,Training,REEP5,Other
P26038,brown,0.8757071761549344,0.4839736601401057,Training,MSN,Other
Q14204,brown,0.8525123369797155,0.42896970508020515,Training,DYNC1H1,Microtubule process
O75923,brown,0.8440499563920189,0.2850178567026826,Training,DYSF,Other
Q14974,brown,0.8356299265920483,0.23077041485906927,Training,KPNB1,Microtubule process
P10636,brown,0.8352502572943145,0.2623905848483072,Training,MAPT,Microtubule process
E9PAV3,brown,0.8221023925572029,0.29845664146399686,Training,NACA,Other
P68363,brown,0.8149581370687037,0.3756901310318872,Training,TUBA1B,Microtubule process
P48643,brown,0.8059821785124942,0.5012638470927,Training,CCT5,Protein folding
Q92973,brown,0.7887953072915421,0.2511805786499395,Training,TNPO1,Other
Q14315,brown,0.7876052019720086,0.2498390547442571,Training,FLNC,Other
P55072,brown,0.784227066415382,0.1114716647262254,Training,VCP,Microtubule process
P35998,brown,0.7791224832108725,0.24052469140631605,Training,PSMC2,Proteasomal protein catabolism
P11142,brown,0.7772400975012016,0.21450220261816622,Training,HSPA8,Protein folding
P45974,brown,0.7754642855742475,0.32500628142382554,Training,USP5,Proteasomal protein catabolism
P68104,brown,0.77413163525474,0.19796711739715728,Training,EEF1A1,Other
P48681,brown,0.7695018174624535,0.2049291334657253,Training,NES,Other
P07437,brown,0.76922288619308965,0.4562632715435987,Training,TUBB,Microtubule process
Q99584,brown,0.7684679839697542,0.4767812023984966,Training,S100A13,Other
Q9Y3A3,brown,0.7674484408097555,0.07842497085606392,Training,MOB4,Other
Q99832,brown,0.7658353096506915,0.3446507478183245,Training,CCT7,Protein folding
Q00610,brown,0.7645598870659476,0.2772529548231649,Training,CLTC,Microtubule process
P21333,brown,0.7592515960136339,0.2935426857044874,Training,FLNA,Microtubule process
P06703,brown,0.7583620177696188,0.39146344284159496,Training,S100A6,Other
Q92616,brown,0.7576074640813892,0.30904141382832073,Training,GCN1,Other
P09936,brown,0.7544102182511996,0.2600684169254942,Training,UCHL1,Microtubule process
P35080,brown,0.7538289847221812,0.14763482656335997,Training,PFN2,Other
Q16082,brown,0.7526333189643136,0.340388069350337,Training,HSPB2,Protein folding
Q2TBA0,brown,0.7431802610301224,0.19039507125995478,Training,KLHL40,Proteasomal protein catabolism
Q14232,brown,0.7412835611663955,0.15175649995997748,Training,EIF2B1,Other
Q05519,turquoise,0.9133100014343726,0.4184996400411286,Type II fCSA,SRSF11,Other
Q7LG56,turquoise,0.8916078851075737,0.5043695290145581,Type II fCSA,RRM2B,Other
P08621,turquoise,0.8815908804984381,0.4864817062489829,Type II fCSA,SNRNP70,Other
O94811,turquoise,0.8784577515832638,0.41266023568564814,Type II fCSA,TPPP,Protein modification process
Q96S66,turquoise,0.8630796168730229,0.40079451892548257,Type II fCSA,CLCC1,Other
Q15386,turquoise,0.8606724113067306,0.45972942089146657,Type II fCSA,UBE3C,Protein modification process
Q9BR76,turquoise,0.8600589537189814,0.4438170750889003,Type II fCSA,CORO1B,Other
Q9BZE9,turquoise,0.8553806189490728,0.4116199913408794,Type II fCSA,ASPSCR1,Protein modification process
Q9BXB4,turquoise,0.8534029337375759,0.3281557543580234,Type II fCSA,OSBPL11,Other
Q8IZ81,turquoise,0.8493055405223692,0.5217915839670548,Type II fCSA,ELMOD2,Other
Q8N5K1,turquoise,0.8492324589189383,0.2641382850102897,Type II fCSA,CISD2,Other
Q9NVD7,turquoise,0.8269165001031618,0.22998378132026653,Type II fCSA,PARVA,Other
Q9UGI8,turquoise,0.8237051183239809,0.39789581266855517,Type II fCSA,TES,Other
O95816,turquoise,0.8198949548358462,0.2536202579634787,Type II fCSA,BAG2,Protein modification process
Q9Y2Q9,turquoise,0.8149558322177541,0.43280563931459337,Type II fCSA,MRPS35,Other
P30085,turquoise,0.8141021338452544,0.24210864550145825,Type II fCSA,CMPK1,Other
Q12846,turquoise,0.8134903095356558,0.46825827105225837,Type II fCSA,STX4,Other
Q96RL7,turquoise,0.8057750894769476,0.3602620026539066,Type II fCSA,VPS13A,Other
Q96Q83,turquoise,0.804712965887107,0.5590515821746898,Type II fCSA,ALKBH3,Other
Q9UI12,turquoise,0.80334778125113,0.42844339599509645,Type II fCSA,ATP6V1H,Other
P16989,turquoise,0.801259643236546,0.20966967790465035,Type II fCSA,YBX3,Other
Q00169,turquoise,0.8001652861702699,0.2997173270429591,Type II fCSA,PITPNA,Other
Q9UBQ0,turquoise,0.7963831090809875,0.4471218970017422,Type II fCSA,VPS29,Other
Q13492,turquoise,0.7896032474009212,0.508513739137697,Type II fCSA,PICALM,Other
P61088,turquoise,0.7866904486190397,0.157729078522936,Type II fCSA,UBE2N,Protein modification process
Q13724,turquoise,0.7805127414378976,0.33163915201438016,Type II fCSA,MOGS,Protein modification process
P09601,turquoise,0.7795516331043227,0.42304025944693047,Type II fCSA,HMOX1,Other
Q9H9A6,turquoise,0.7719595193826289,0.3742304502937862,Type II fCSA,LRRC40,Other
Q9NZM1,turquoise,0.7687969344104301,0.4133072324759869,Type II fCSA,MYOF,Other
P48426,turquoise,0.7674550161149366,0.28318782771262785,Type II fCSA,PIP4K2A,Other
Q8TED0,green,0.9387323074944813,0.2744547555703448,VL Thickness,UTP15,Other
P07951,green,0.9294189964929613,0.335527802952199,VL Thickness,TPM2,Muscle system process
P09493,green,0.9241638549663744,0.38492975532920704,VL Thickness,TPM1,Muscle structure dev.
P12814,green,0.920142532890175,0.29930825463243393,VL Thickness,ACTN1,Muscle structure dev.
P45378,green,0.9195291073994553,0.3630087301703685,VL Thickness,TNNT3,Muscle structure dev.
O43707,green,0.9148823723463604,0.3401036116224614,VL Thickness,ACTN4,Muscle structure dev.
Q9NP98,green,0.9059179281510362,0.30401436201338466,VL Thickness,MYOZ1,Muscle structure dev.
P50851,green,0.9049411731277615,0.28399002370222903,VL Thickness,LRBA,Other
P48788,green,0.9039070464655236,0.4219986446289884,VL Thickness,TNNI2,Muscle system process
P35609,green,0.9032700311843308,0.2779986138600543,VL Thickness,ACTN2,Muscle structure dev.
P52179,green,0.897042637568871,0.34203476452844683,VL Thickness,MYOM1,Muscle structure dev.
Q9NZQ9,green,0.8967938835115099,0.36568215032869156,VL Thickness,TMOD4,Muscle structure dev.
Q08043,green,0.8955227870889529,0.4071243626031655,VL Thickness,ACTN3,Muscle structure dev.
P60709,green,0.8708073686749652,0.3180471589971302,VL Thickness,ACTB,Muscle structure dev.
Q68DQ2,green,0.8694344651925144,0.3075257965154209,VL Thickness,CRYBG3,Other
P24043,green,0.8665554759806965,0.31472698653943376,VL Thickness,LAMA2,Muscle structure dev.
P02585,green,0.8662846711963045,0.4039057526738304,VL Thickness,TNNC2,Muscle system process
Q14324,green,0.8657946112626045,0.4337281900373355,VL Thickness,MYBPC2,Muscle structure dev.
P17661,green,0.8597249904483513,0.376000271755793,VL Thickness,DES,Muscle structure dev.
P10828,green,0.8560490711871958,0.34918830142784907,VL Thickness,THRB,Other
Q5TDH0,green,0.850418828827002,0.3160451831558029,VL Thickness,DDI2,Other
P68133,green,0.850064283383389,0.23722994349842513,VL Thickness,ACTA1,Muscle structure dev.
P02461,green,0.8443672226668605,0.2773630843693846,VL Thickness,COL3A1,Muscle structure dev.
P54296,green,0.836143883173662,0.31729411961059495,VL Thickness,MYOM2,Muscle structure dev.
P02452,green,0.8252434138528579,0.23365225818617447,VL Thickness,COL1A1,Other
Q9NR12,green,0.8242213540093266,0.4407461254333073,VL Thickness,PDLIM7,Muscle structure dev.
Q6PK04,green,0.8174176909064027,0.19650464404556708,VL Thickness,CCDC137,Other
P08123,green,0.8086328498746647,0.19784274147590505,VL Thickness,COL1A2,Other
P28289,green,0.7949837328850883,0.3948984138563345,VL Thickness,TMOD1,Muscle structure dev.
P17948,green,0.7934731377729172,0.16080407073130623,VL Thickness,FLT1,Other
P62750,black,0.9151091482058034,-0.470048191904858,Age,RPL23A,Cytoplasmic translation
P18621,black,0.9081492018130063,-0.47830039087332876,Age,RPL17,Cytoplasmic translation
P61513,black,0.8869973206078071,-0.3848796829609623,Age,RPL37A,Cytoplasmic translation
P35268,black,0.8610527061378317,-0.3860794385833391,Age,RPL22,Cytoplasmic translation
P84098,black,0.8554522246288051,-0.32694181506376846,Age,RPL19,Cytoplasmic translation
P46777,black,0.8553728266430572,-0.2874463119406915,Age,RPL5,Cytoplasmic translation
P46779,black,0.8490258957971023,-0.4305769588012621,Age,RPL28,Cytoplasmic translation
Q92614,black,0.8469938694113441,-0.2866801551847742,Age,MYO18A,Other
O75569,black,0.8443429658417364,-0.12730035999987505,Age,PRKRA,Other
Q9UQ80,black,0.8433095158956575,-0.12375618280649296,Age,PA2G4,Other
P62906,black,0.836911328420588,-0.2236894829962776,Age,RPL10A,Cytoplasmic translation
P05387,black,0.8368250637204617,-0.20344818119914665,Age,RPLP2,Cytoplasmic translation
P05388,black,0.8366842316039974,-0.2698939218681752,Age,RPLP0,Cytoplasmic translation
