module,Zsummary,Zdensity,Zconnectivity,module_size,preservation
black,19.48888454708591,33.85041200902641,5.1273570851454116,139,Strong
blue,23.07008430519893,30.601648891612662,15.538519718785194,295,Strong
brown,24.695577431039915,35.71496770817413,13.676187153905701,266,Strong
green,24.80470470654587,34.192203791034146,15.417205622057592,175,Strong
magenta,10.632204515452642,14.8902175928694,6.374191438035884,66,Strong
pink,19.455126442470366,29.87451770306982,9.03573518187091,94,Strong
red,36.397947526697145,61.2181206481631,11.577774405231189,151,Strong
turquoise,19.386519473434632,23.763622804923692,15.009416141945568,332,Strong
yellow,17.17249861153832,24.4554446207501,9.889552602326539,225,Strong
