gene,fcm_cluster,fcm_membership,wgcna_module,concordance_quadrant,reversal_quadrant
MMP24OS,C2,0.9999677431144236,Red,Conc. Down,Reversal
ESYT2,C3,0.99332653464548,Brown,Conc. Up,Rejuvenation
FSD2,C4,0.9894798145606326,Turquoise,Conc. Up,Rejuvenation
TARS3,C2,0.9998520107873112,Magenta,Conc. Down,Reversal
VWA8,C2,0.9997879227394438,Blue,Disc. YUp/ODn,Reversal
CARNS1,C3,0.9369006559221954,Brown,Conc. Up,Rejuvenation
MAP1LC3B2,C4,0.9999459125998124,Black,Disc. YDn/OUp,Rejuvenation
SMTNL1,C1,0.8930541328093898,Yellow,Disc. YUp/ODn,Non-restored (-/-)
NUDT19,C2,0.9996554370194788,Turquoise,Disc. YDn/OUp,Rejuvenation
NACA,C3,0.9999936277838052,Brown,Conc. Up,Rejuvenation
SLC35A4,C4,0.9022174788224074,Turquoise,Disc. YDn/OUp,Rejuvenation
PDLIM1,C4,0.9272753074172112,Red,Conc. Down,Reversal
MYO1C,C3,0.816359526131921,Blue,Disc. YUp/ODn,Reversal
FXYD1,C3,0.6964663178010393,Turquoise,Conc. Up,Rejuvenation
NDUFS8,C2,0.999969841890266,Red,Conc. Down,Non-restored (-/-)
PSMD11,C3,0.959823699630133,Yellow,Conc. Up,Rejuvenation
PSMD12,C3,0.9943862827307106,Yellow,Disc. YUp/ODn,Non-restored (-/-)
PGRMC1,C3,0.5481559158511995,Turquoise,Disc. YUp/ODn,Reversal
CLIC1,C3,0.9177351119629226,Brown,Conc. Up,Rejuvenation
EIF3F,C3,0.9778659674833752,Black,Disc. YUp/ODn,Reversal
PDHX,C2,0.999997515104796,Magenta,Conc. Down,Non-restored (-/-)
DCTN6,C3,0.9998174674928144,Brown,Conc. Up,Rejuvenation
IPO5,C3,0.9311360586819636,Brown,Disc. YUp/ODn,Non-restored (-/-)
EEF2K,C1,0.4874654456224457,Turquoise,Conc. Down,Non-restored (-/-)
EML1,C1,0.975994787312664,Green,Conc. Down,Non-restored (-/-)
DNM1L,C2,0.9785284810038032,Blue,Disc. YUp/ODn,Reversal
RTCA,C2,0.8486219937643751,Blue,Conc. Down,Reversal
NDUFA4,C2,0.9995319964201492,Magenta,Conc. Up,Non-restored (+/+)
PSMD14,C3,0.997861316597178,Brown,Conc. Up,Rejuvenation
BIN1,C3,0.999163647465788,Brown,Disc. YUp/ODn,Non-restored (-/-)
KPNA3,C3,0.9979881286334532,Turquoise,Conc. Up,Rejuvenation
DDX3X,C4,0.9972282933549024,Black,Conc. Up,Rejuvenation
KPNA4,C1,0.8515551606107399,Brown,Conc. Up,Rejuvenation
CES2,C2,0.7262871264576861,Blue,Conc. Up,Non-restored (+/+)
FBP2,C1,0.9722126846768936,Yellow,Disc. YUp/ODn,Non-restored (-/-)
PDXK,C1,0.9711646917518094,Turquoise,Conc. Down,Non-restored (-/-)
SDHD,C2,0.9685201743559524,Magenta,Disc. YUp/ODn,Reversal
COX7A2L,C2,0.9974096415658008,Red,Disc. YDn/OUp,Rejuvenation
HSPB6,C3,0.6377959535387165,Brown,Conc. Up,Non-restored (+/+)
NDUFAB1,C2,0.9999316120234492,Red,Conc. Down,Non-restored (-/-)
