sample_id,group,subject,age,time,eigengene,module,group_label
OP_S06_Pre,Old_Pre,OP_S06,Old,Pre,-0.03331913936469067,blue,O-Pre
OP_S11_Pre,Old_Pre,OP_S11,Old,Pre,0.10426939398331969,blue,O-Pre
OP_S12_Pre,Old_Pre,OP_S12,Old,Pre,0.13843980586613747,blue,O-Pre
OP_S17_Pre,Old_Pre,OP_S17,Old,Pre,0.26945594768892367,blue,O-Pre
O_S05_Pre,Old_Pre,O_S05,Old,Pre,0.07513330050347969,blue,O-Pre
O_S06_Pre,Old_Pre,O_S06,Old,Pre,0.260982717479915,blue,O-Pre
O_S07_Pre,Old_Pre,O_S07,Old,Pre,-0.10225953217205122,blue,O-Pre
O_S10_Pre,Old_Pre,O_S10,Old,Pre,-0.008918677579098137,blue,O-Pre
O_S16_Pre,Old_Pre,O_S16,Old,Pre,0.10395663772313907,blue,O-Pre
O_S17_Pre,Old_Pre,O_S17,Old,Pre,0.06559294812387777,blue,O-Pre
O_S24_Pre,Old_Pre,O_S24,Old,Pre,0.15845821768602664,blue,O-Pre
O_S28_Pre,Old_Pre,O_S28,Old,Pre,-0.06796197306054,blue,O-Pre
O_S29_Pre,Old_Pre,O_S29,Old,Pre,0.17470174968774851,blue,O-Pre
O_S32_Pre,Old_Pre,O_S32,Old,Pre,0.12986959414039229,blue,O-Pre
O_S35_Pre,Old_Pre,O_S35,Old,Pre,0.24458479583048837,blue,O-Pre
OP_S06_Post,Old_Post,OP_S06,Old,Post,0.03888888919722641,blue,O-Post
OP_S11_Post,Old_Post,OP_S11,Old,Post,0.16452146019117134,blue,O-Post
OP_S12_Post,Old_Post,OP_S12,Old,Post,0.15462556088815765,blue,O-Post
OP_S17_Post,Old_Post,OP_S17,Old,Post,0.20992476415059094,blue,O-Post
O_S05_Post,Old_Post,O_S05,Old,Post,0.13106418173447157,blue,O-Post
O_S06_Post,Old_Post,O_S06,Old,Post,0.016951442435447637,blue,O-Post
O_S07_Post,Old_Post,O_S07,Old,Post,0.07544860300828246,blue,O-Post
O_S10_Post,Old_Post,O_S10,Old,Post,0.05053588180018392,blue,O-Post
O_S16_Post,Old_Post,O_S16,Old,Post,0.12493328880661322,blue,O-Post
O_S17_Post,Old_Post,O_S17,Old,Post,0.17760315411632896,blue,O-Post
O_S24_Post,Old_Post,O_S24,Old,Post,0.16509118114326213,blue,O-Post
O_S28_Post,Old_Post,O_S28,Old,Post,0.018867549754026755,blue,O-Post
O_S29_Post,Old_Post,O_S29,Old,Post,-0.01988613037977268,blue,O-Post
