module_color,module_label,trait,trait_label,trait_group,cor,pval,stars
black,Complement/Serum (90),age_num,Age,"Study
Design",0.37909993810453496,0.0023769242716297,**
black,Complement/Serum (90),time_num,Time,"Study
Design",0.03242707367997068,0.8024322493724262,
black,Complement/Serum (90),interaction,Interaction,"Study
Design",0.21643042689854466,0.09110761631377542,
black,Complement/Serum (90),VL_thick_cm,dVL Thickness,"Phenotypic
Outcomes",-0.2464893029023921,0.053449276426858656,
black,Complement/Serum (90),DXA_LBM_kg,DXA LBM,"Phenotypic
Outcomes",-0.24846342557233977,0.051505646558488834,
black,Complement/Serum (90),BMI,BMI,"Phenotypic
Outcomes",0.3559156814069703,0.004524714251999583,**
black,Complement/Serum (90),Type_I_fCSA,Type I fCSA,"Phenotypic
Outcomes",-0.06988929221366677,0.5893554836962948,
black,Complement/Serum (90),Type_II_fCSA,Type II fCSA,"Phenotypic
Outcomes",-0.12901920455647334,0.3175968490802924,
black,Complement/Serum (90),deadlift_1rm_kg,Deadlift 1RM,"Phenotypic
Outcomes",-0.21429326035620194,0.09442601725017334,
green,Mito. ETC / OxPhos (147),age_num,Age,"Study
Design",0.27845344907840147,0.028418075796648845,*
green,Mito. ETC / OxPhos (147),time_num,Time,"Study
Design",-0.22147289374179413,0.08364024459351115,
green,Mito. ETC / OxPhos (147),interaction,Interaction,"Study
Design",0.18708512579738212,0.14538684360396123,
green,Mito. ETC / OxPhos (147),VL_thick_cm,dVL Thickness,"Phenotypic
Outcomes",-0.014729171256806083,0.9095362810335805,
green,Mito. ETC / OxPhos (147),DXA_LBM_kg,DXA LBM,"Phenotypic
Outcomes",0.17611045569348108,0.17093584753516433,
green,Mito. ETC / OxPhos (147),BMI,BMI,"Phenotypic
Outcomes",-0.1352526825771056,0.2945774183329154,
green,Mito. ETC / OxPhos (147),Type_I_fCSA,Type I fCSA,"Phenotypic
Outcomes",0.22787679533148242,0.07486264113486997,
green,Mito. ETC / OxPhos (147),Type_II_fCSA,Type II fCSA,"Phenotypic
Outcomes",-0.05357292639753536,0.6792065456904857,
green,Mito. ETC / OxPhos (147),deadlift_1rm_kg,Deadlift 1RM,"Phenotypic
Outcomes",-0.16278248757250427,0.20618812075191828,
blue,Lipid/AA Catabolism (292),age_num,Age,"Study
Design",0.7216865206368926,3.640217108422306e-11,***
blue,Lipid/AA Catabolism (292),time_num,Time,"Study
Design",-0.05685949191180278,0.6606933318623045,
blue,Lipid/AA Catabolism (292),interaction,Interaction,"Study
Design",0.39396357782522157,0.0015342292077518908,**
blue,Lipid/AA Catabolism (292),VL_thick_cm,dVL Thickness,"Phenotypic
Outcomes",-0.2902138897318653,0.022130048543516183,*
