FCM,WGCNA,Count,pval,neg_log10_p,label
C1,black,9,0.9999907876963449,0,
C2,black,0,1,0,
C3,black,0,1,0,
C4,black,81,1.1840888576439542e-40,39.926615705605975,81
C1,blue,30,0.9999999999999973,0,
C2,blue,13,1,0,
C3,blue,217,5.276384303564441e-77,76.27766358029035,217
C4,blue,32,0.9999999999907352,0,
C1,brown,29,0.9999983640495191,0,
C2,brown,36,0.7913759738414057,0,
C3,brown,12,1,0,
C4,brown,123,4.86535167443676e-31,30.312885762847344,123
C1,cyan,37,4.062239627455623e-14,13.391234461578142,37
C2,cyan,0,1,0,
C3,cyan,7,0.9844260002063963,0,
C4,cyan,2,0.9999796241175056,0,
C1,green,1,1,0,
C2,green,18,0.9961650474255592,0,
C3,green,125,4.604119326580323e-53,52.33685342913351,125
C4,green,3,1,0,
C1,greenyellow,58,1.4575831644401855e-26,25.836366656584683,58
C2,greenyellow,2,0.9999928879636623,0,
C3,greenyellow,1,0.9999999994349071,0,
C4,greenyellow,4,0.9999915744437566,0,
C1,magenta,0,1,0,
C2,magenta,50,1.2351943883993712e-18,17.90826469004325,50
C3,magenta,5,0.9999996025804365,0,
C4,magenta,22,0.29219148143480206,0,
C1,pink,12,0.9996544035263508,0,
C2,pink,78,4.151073218160434e-45,44.38183960630767,78
C3,pink,0,1,0,
C4,pink,0,1,0,
C1,purple,5,0.9999959286753597,0,
C2,purple,1,0.9999998431556176,0,
C3,purple,63,4.11204061384426e-30,29.385942604547473,63
C4,purple,0,1,0,
C1,red,3,0.9999999999999978,0,
C2,red,91,8.09800494106712e-42,41.091621962579026,91
C3,red,4,0.999999999999968,0,
C4,red,25,0.9266383956856328,0,
C1,salmon,16,0.1870302965093695,0,
C2,salmon,27,9.654368809255273e-9,8.01527611459491,27
C3,salmon,1,0.9999997739143509,0,
C4,salmon,3,0.9998675611538888,0,
C1,tan,49,5.686880253504892e-19,18.24512591642685,49
C2,tan,6,0.9885309429819567,0,
C3,tan,2,0.9999999255204169,0,
C4,tan,3,0.9999957955912824,0,
C1,turquoise,95,0.06281865867946564,0,
C2,turquoise,30,0.9999999379708442,0,
C3,turquoise,48,0.9999999603194154,0,
C4,turquoise,133,1.3987379113776431e-14,13.854263653846736,133
C1,yellow,140,8.558034148980551e-64,63.06762598489062,140
C2,yellow,1,1,0,
C3,yellow,1,1,0,
C4,yellow,18,0.9999989062469155,0,
