module,Zsummary,module_size,preservation
black,19.48888454708591,139,Strong
blue,23.07008430519893,295,Strong
brown,24.695577431039915,266,Strong
green,24.80470470654587,175,Strong
magenta,10.632204515452642,66,Strong
pink,19.455126442470366,94,Strong
red,36.397947526697145,151,Strong
turquoise,19.386519473434632,332,Strong
yellow,17.17249861153832,225,Strong
