module,trait,n,r,ci_lo,ci_hi,p_raw,p_bh_global
MEpink,age_num,62,0.378,0.1416,0.5736,0.00245090795344169,0.02005288325543209
MEpink,time_num,62,0.0358,-0.2159,0.283,0.7823250783832918,0.8692500870925466
MEpink,interaction,62,0.2173,-0.0343,0.443,0.08979440179990342,0.23644588028092092
MEpink,VL_thick_cm,62,-0.2446,-0.4659,0.0055,0.05532924514879508,0.17784400226398572
MEpink,DXA_LBM_kg,62,-0.2499,-0.4703,-1e-4,0.050142606548327445,0.16714202182777949
MEpink,deadlift_1rm_kg,50,-0.2159,-0.4662,0.0665,0.13213892167780747,0.23644588028092092
MEpink,Type_I_fCSA,44,-0.0767,-0.3652,0.2253,0.6208132887360072,0.7221227309638228
MEpink,Type_II_fCSA,44,-0.1303,-0.4113,0.1733,0.39916515439939193,0.4937835647391044
MEred,age_num,62,0.2791,0.0315,0.4944,0.028052021490700647,0.0971031513139638
MEred,time_num,62,-0.2237,-0.4484,0.0276,0.08054405266343138,0.2265301481159008
MEred,interaction,62,0.1877,-0.0651,0.4179,0.14396239071955327,0.32569088587908096
MEred,VL_thick_cm,62,-0.013,-0.2619,0.2376,0.9201957129626468,0.9411092518936164
MEred,DXA_LBM_kg,62,0.1762,-0.0769,0.408,0.17063855984895887,0.3379250063408727
MEred,deadlift_1rm_kg,50,-0.1644,-0.4234,0.1194,0.25385678824887936,0.37026500601287304
MEred,Type_I_fCSA,44,0.2289,-0.0729,0.4923,0.13497872068307917,0.21956245350132617
MEred,Type_II_fCSA,44,-0.0514,-0.343,0.2493,0.7404780565160223,0.7879772014052635
MEblue,age_num,62,0.7224,0.5767,0.8236,3.408754610564117e-11,3.067879149507583e-9
MEblue,time_num,62,-0.0576,-0.303,0.195,0.6565906243875814,0.7674435869465237
MEblue,interaction,62,0.3943,0.1603,0.5863,0.0015184730715695504,0.0151847307156956
MEblue,VL_thick_cm,62,-0.2896,-0.503,-0.0429,0.02242290237343346,0.0807224485443615
MEblue,DXA_LBM_kg,62,0.0515,-0.2008,0.2974,0.6909515045033507,0.7879772014052635
MEblue,deadlift_1rm_kg,50,-0.3124,-0.5435,-0.0373,0.02718609272609889,0.05756591009384394
MEblue,Type_I_fCSA,44,-0.0301,-0.3241,0.2691,0.845966480050319,0.893885657268035
MEblue,Type_II_fCSA,44,-0.4009,-0.6235,-0.118,0.007006891281598582,0.01399341650693065
MEmagenta,age_num,62,-0.0218,-0.2701,0.2292,0.8661453490837673,0.9131578923644073
MEmagenta,time_num,62,0.1031,-0.1506,0.344,0.42529913253912743,0.5888757219772534
MEmagenta,interaction,62,0.0229,-0.2282,0.2711,0.8596611039967236,0.9131578923644073
MEmagenta,VL_thick_cm,62,0.0688,-0.1842,0.3132,0.595315196031442,0.7339502416826
MEmagenta,DXA_LBM_kg,62,0.1369,-0.1169,0.3738,0.28884757483530005,0.4814126247255212
MEmagenta,deadlift_1rm_kg,50,0.0104,-0.2688,0.2879,0.9430219187093651,0.9467634853983528
MEmagenta,Type_I_fCSA,44,0.0743,-0.2276,0.3632,0.631547711839914,0.7255552590148195
MEmagenta,Type_II_fCSA,44,0.1205,-0.1829,0.4029,0.43597173471722706,0.5177852966893887
MEyellow,age_num,62,-0.0672,-0.3118,0.1856,0.6035831409854396,0.7340876039012105
MEyellow,time_num,62,0.0578,-0.1947,0.3032,0.6552385641054553,0.7674435869465237
MEyellow,interaction,62,-0.0475,-0.2938,0.2047,0.714048542075014,0.8033046098343907
MEyellow,VL_thick_cm,62,0.0208,-0.2302,0.2692,0.8725730971482111,0.9131578923644073
MEyellow,DXA_LBM_kg,62,0.1222,-0.1316,0.3609,0.34408615965181244,0.5177852966893887
MEyellow,deadlift_1rm_kg,50,0.0951,-0.1883,0.3638,0.5113441066238668,0.611896435458566
MEyellow,Type_I_fCSA,44,-0.0973,-0.3831,0.2055,0.5299152271634793,0.611896435458566
MEyellow,Type_II_fCSA,44,-0.0137,-0.3093,0.2844,0.929754916649402,0.9411092518936164
MEblack,age_num,62,-0.3499,-0.5515,-0.1097,0.00531118210588324,0.02784426576137522
MEblack,time_num,62,0.1754,-0.0778,0.4073,0.17271722546311258,0.3379250063408727
MEblack,interaction,62,-0.0651,-0.3098,0.1878,0.6154022729637627,0.7384827275565155
MEblack,VL_thick_cm,62,0.2198,-0.0317,0.4451,0.08606400632535399,0.23472001725096667
MEblack,DXA_LBM_kg,62,0.0288,-0.2226,0.2765,0.8243612172582943,0.893885657268035
MEblack,deadlift_1rm_kg,50,0.0059,-0.2729,0.2838,0.9677521360476743,0.9639107055233171
MEblack,Type_I_fCSA,44,-0.0716,-0.3608,0.2302,0.6443484234446188,0.7255552590148195
MEblack,Type_II_fCSA,44,0.1145,-0.1888,0.3979,0.459087448635632,0.5324202956019006
MEbrown,age_num,62,-0.5196,-0.681,-0.3101,1.507486905879695e-5,3.39184553822926e-4
MEbrown,time_num,62,0.4017,0.1689,0.5921,0.001212476246462722,0.01399341650693065
MEbrown,interaction,62,-0.1792,-0.4106,0.0738,0.16333211739231585,0.3379250063408727
MEbrown,VL_thick_cm,62,0.0956,-0.158,0.3373,0.460045498458618,0.611896435458566
MEbrown,DXA_LBM_kg,62,-0.0724,-0.3164,0.1806,0.5761008785016216,0.7255552590148195
MEbrown,deadlift_1rm_kg,50,0.1857,-0.0977,0.4413,0.19657033672216404,0.32569088587908096
MEbrown,Type_I_fCSA,44,-0.1332,-0.4137,0.1704,0.38859452744128187,0.4852263922136244
MEbrown,Type_II_fCSA,44,0.1232,-0.1802,0.4053,0.42548080647262565,0.5177852966893887
MEgreen,age_num,62,-0.3615,-0.5607,-0.1228,0.0038887620982501563,0.02667887428554609
