gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
RPS7,1.4803,4.9104,0,0.006499,Up
MYBPH,3.9548,4.3254,0,0.01111,Up
LMOD2,2.4202,2.7043,0,0.054975,Up
MUSTN1,2.1347,3.3634,0,0.025587,Up
SYNPO2L,1.9191,3.8439,0,0.017823,Up
IDI1,-1.2152,5.1407,1e-6,0.005099,Down
LRG1,-1.4956,3.854,2e-6,0.017823,Down
ALDH6A1,-1.2985,4.4247,2e-6,0.009942,Down
GPT2,-2.275,2.5135,2e-6,0.069458,Down
DES,1.7098,3.1053,5e-6,0.035258,Up
ACTN2,2.4283,2.167,5e-6,0.098823,Up
MICOS10,1.4855,3.5618,5e-6,0.021487,Up
TTN,1.7171,3.0705,5e-6,0.035258,Up
HAT1,2.4467,2.1211,6e-6,0.101909,Up
PLIN2,-1.5451,3.3091,8e-6,0.026475,Down
ARHGAP1,1.0732,4.554,1.3e-5,0.009845,Up
ACTN1,2.4213,2.0109,1.4e-5,0.111649,Up
ACTN4,2.1199,2.2428,1.8e-5,0.094481,Up
HMGB2,-0.9666,4.8088,2.2e-5,0.00657,Down
THRB,1.9017,2.3462,3.5e-5,0.081755,Up
RPL24,1.0367,4.1909,4.5e-5,0.012389,Up
PREX1,1.29,3.3491,4.8e-5,0.025587,Up
PSMD7,0.7921,5.2059,7.5e-5,0.005099,Up
CTSZ,-1.0532,3.8705,8.4e-5,0.017823,Down
OBSCN,1.0808,3.7361,9.2e-5,0.020591,Up
MT2A,-1.2389,3.2303,1e-4,0.028729,Down
CAMK2D,1.065,3.7329,1.06e-4,0.020591,Up
PLIN4,-0.8999,4.1956,1.68e-4,0.012389,Down
PDLIM1,-1.1491,3.2792,1.7e-4,0.026475,Down
RPS10,1.0008,3.5912,2.55e-4,0.021487,Up
RPL22,0.9541,3.6849,3.05e-4,0.021487,Up
MAOA,-0.9698,3.6218,3.07e-4,0.021487,Down
NEB,1.4321,2.4518,3.08e-4,0.075488,Up
KLHL40,1.3652,2.5631,3.17e-4,0.066475,Up
OTUB1,-0.6394,5.3983,3.54e-4,0.005099,Down
TPM1,1.5603,2.2107,3.55e-4,0.094988,Up
SELENBP1,-0.8505,4.0457,3.62e-4,0.015863,Down
CARM1,1.2658,2.7141,3.67e-4,0.054975,Up
FLNB,1.0794,3.0169,5.54e-4,0.035906,Up
COPS7B,-1.4689,2.2078,5.72e-4,0.094988,Down
TNNI2,1.4394,2.2158,6.47e-4,0.094624,Up
MYH2,1.5004,2.1184,6.63e-4,0.101909,Up
PSAP,-0.8277,3.5643,0.001121,0.021487,Down
NRAP,1.2384,2.3771,0.001138,0.080099,Up
SQSTM1,0.8137,3.6172,0.001139,0.021487,Up
SLC25A46,-0.9939,2.9501,0.001169,0.040211,Down
NAXD,-0.807,3.5638,0.001331,0.021487,Down
MYOF,0.9468,3.0143,0.0014,0.035906,Up
CLIC4,0.8895,3.1452,0.001594,0.032915,Up
PHKA2,0.799,3.4487,0.001755,0.023975,Up
ACTN3,2.1087,1.3057,0.001765,0.256485,Up
DCXR,-0.8483,3.2059,0.001907,0.029255,Down
TNNT3,1.402,1.9251,0.002,0.120452,Up
MPST,-0.6876,3.8788,0.002153,0.017823,Down
MYOM3,1.2725,2.0798,0.002257,0.105817,Up
DDI2,1.2918,2.022,0.002443,0.110459,Up
MYOZ1,1.8286,1.4141,0.0025959999999999998,0.226965,Up
RPL23A,0.8455,3.0332,0.002725,0.035906,Up
ARHGDIB,-0.8862,2.8786,0.002812,0.044398,Down
RPL37A,0.9826,2.5941,0.002826,0.065682,Up
MYL1,1.2832,1.9625,0.003032,0.116703,Up
CAPRIN1,1.1815,2.1277,0.003064,0.101701,Up
MAOB,-0.7339,3.4141,0.003123,0.023975,Down
ADH1B,-1.2283,2.0103,0.003395,0.111649,Down
FLNC,0.9829,2.5105,0.003408,0.069458,Up
RNF114,-0.6911,3.4918,0.003863,0.023503,Down
CA3,-0.6871,3.4521,0.004246,0.023975,Down
SOD2,-0.887,2.6669,0.004311,0.057935,Down
FXN,-0.7671,3.0829,0.004316,0.035258,Down
EPDR1,-0.8199,2.8428,0.00467,0.047462,Down
TMPO,-0.9838,2.3666,0.004695,0.080464,Down
XIRP1,1.1663,1.9534,0.00527,0.116927,Up
RPL10,0.8789,2.5881,0.005314,0.065789,Up
RPS3A,0.6924,3.2804,0.005354,0.026475,Up
EMC2,0.8745,2.5765,0.005583,0.065868,Up
TPM2,1.3078,1.7116,0.005775,0.160503,Up
MRPL9,1.2108,1.8368,0.005969,0.1362,Up
MT-CO1,1.0361,2.1465,0.005971,0.101671,Up
VIM,0.9275,2.3957,0.005999,0.07873,Up
BZW1,1.0417,2.1219,0.006161,0.101909,Up
SCO1,0.8891,2.4811,0.006224,0.07287,Up
PNPO,-0.8643,2.5404,0.006372,0.068691,Down
DYNLT1,0.6264,3.494,0.006476,0.023503,Up
SUOX,-0.7114,3.075,0.006494,0.035258,Down
GPD1L,-0.4903,4.4598,0.006507,0.009942,Down
PHPT1,-0.6031,3.6198,0.006559,0.021487,Down
PPP1R3A,0.6759,3.2235,0.006627,0.028729,Up
PRUNE1,-1.038,2.0953,0.006686,0.105817,Down
DCTN3,0.9403,2.3128,0.006688,0.084565,Up
NAE1,-0.7015,3.0231,0.007573,0.035906,Down
FSD2,0.7492,2.7915,0.008105,0.049944,Up
EEFSEC,0.9467,2.1952,0.008352,0.096372,Up
