uniprot_id,protein,gene,description,OP_S06_Pre,OP_S11_Pre,OP_S12_Pre,OP_S17_Pre,O_S05_Pre,O_S06_Pre,O_S07_Pre,O_S10_Pre,O_S16_Pre,O_S17_Pre,O_S24_Pre,O_S28_Pre,O_S29_Pre,O_S32_Pre,O_S35_Pre,OP_S06_Post,OP_S11_Post,OP_S12_Post,OP_S17_Post,O_S05_Post,O_S06_Post,O_S07_Post,O_S10_Post,O_S16_Post,O_S17_Post,O_S24_Post,O_S28_Post,O_S29_Post,O_S32_Post,O_S35_Post,YP_S14_Pre,YP_S45_Pre,YP_S56_Pre,Y_S01_Pre,Y_S07_Pre,Y_S10_Pre,Y_S11_Pre,Y_S16_Pre,Y_S28_Pre,Y_S30_Pre,Y_S31_Pre,Y_S32_Pre,Y_S34_Pre,Y_S35_Pre,Y_S36_Pre,Y_S40_Pre,YP_S14_Post,YP_S45_Post,YP_S56_Post,Y_S01_Post,Y_S05_Post,Y_S10_Post,Y_S11_Post,Y_S16_Post,Y_S28_Post,Y_S30_Post,Y_S31_Post,Y_S32_Post,Y_S34_Post,Y_S35_Post,Y_S36_Post,Y_S40_Post,logFC_Training_Young,CI.L_Training_Young,CI.R_Training_Young,average_intensity_Training_Young,t_Training_Young,B_Training_Young,P.Value_Training_Young,adj.P.Val_Training_Young,pi_score_Training_Young,sig_pi_Training_Young,logFC_Training_Old,CI.L_Training_Old,CI.R_Training_Old,average_intensity_Training_Old,t_Training_Old,B_Training_Old,P.Value_Training_Old,adj.P.Val_Training_Old,pi_score_Training_Old,sig_pi_Training_Old,logFC_Aging,CI.L_Aging,CI.R_Aging,average_intensity_Aging,t_Aging,B_Aging,P.Value_Aging,adj.P.Val_Aging,pi_score_Aging,sig_pi_Aging,logFC_Interaction,CI.L_Interaction,CI.R_Interaction,average_intensity_Interaction,t_Interaction,B_Interaction,P.Value_Interaction,adj.P.Val_Interaction,pi_score_Interaction,sig_pi_Interaction,logFC_Reversal,CI.L_Reversal,CI.R_Reversal,average_intensity_Reversal,t_Reversal,B_Reversal,P.Value_Reversal,adj.P.Val_Reversal,pi_score_Reversal,sig_pi_Reversal
A0A0U1RRL7,MMPOS_HUMAN,MMP24OS,Protein MMP24OS,NA,16.520575850870213,16.930266520127944,17.112044282651077,16.054674838060954,17.264484432025935,15.130192253826982,NA,16.340420135085733,16.325049763886774,16.449489788235613,16.337962502273218,16.935752097317064,16.188283916180975,17.798143272803852,14.83363387128496,17.184148688110003,16.60124333787238,17.22867233502474,17.157430200336123,16.13067878955537,16.348135675931644,NA,16.793599360374127,16.54039375675888,16.394333209879154,16.004913926833165,15.12404964925456,15.740370764978111,16.363905057555662,NA,NA,15.894764544230137,15.786663636601988,NA,NA,NA,NA,NA,16.307739336178713,16.4625689096231,16.490738487092766,NA,NA,15.779362809273822,16.04576145802009,15.872193586345206,NA,15.05851284970526,16.431851368941924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2741005290415899,-1.0390812158092135,0.49088015772603366,16.323324466570497,-0.7260090949211806,-5.302511592259923,0.4724015962669469,0.7249626228425656,0.8141952614622029,0,-0.2188259495838878,-0.6409006634174408,0.20324876424966526,16.323324466570497,-1.0504905388765429,-5.15684129970177,0.30030663844662764,0.8356255788472711,0.7685597745307604,0,0.4252989485663363,-0.17861767844098597,1.0292155755736587,16.323324466570497,1.4269211677615095,-5.120051601306974,0.16198866501936515,0.37346899150726875,0.46109949093616825,0,0.05527457945770209,-0.8184201699743525,0.9289693288897567,16.323324466570497,0.12818829748487992,-5.193752960017191,0.8986942809720077,0.9890077356336527,0.994113385688022,0,-0.6441248981502241,-1.4982171831459135,0.20996738684546523,16.323324466570497,-1.528086525483179,-4.847011194749399,0.13499691393210378,0.42760374454797223,0.27530869787275386,0
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,16.572522255417994,17.045739870811094,17.148673542528677,17.03028651813484,16.696135284294133,16.99403792978731,16.82475525715368,16.872460946842406,16.67139384472072,17.379672182839386,17.12864336702969,16.914891312951962,16.939696998675934,17.182368846635523,16.84117894948378,17.090532953840942,16.804006718896357,17.576983361028542,NA,16.611712283189274,16.8896102332023,17.13479183557178,16.59207388695959,17.122074677674338,17.081676274167144,17.34999270623974,NA,17.351686991809455,16.80100421276528,17.249648342675943,NA,NA,17.237835089077084,NA,NA,16.992264008773823,17.732731998942917,17.327975433110662,NA,17.019580721977757,16.943028236199844,NA,NA,NA,NA,NA,16.802740734001727,NA,17.965949200795684,17.346481599675865,NA,17.143660779538326,17.037309962193874,NA,16.998310460434485,17.696747901028047,NA,18.01965771488675,NA,NA,16.711235167438584,17.476702050314934,0.13382622429540092,-0.1580856752083396,0.42573812379914144,17.09887415099359,0.9239427757619159,-5.397366574216797,0.36055613255095154,0.6582857458677029,0.872391356803991,0,0.10194124590067233,-0.11085023985662648,0.3147327316579711,17.09887415099359,0.9654979101483462,-5.246092368689675,0.33957299389386875,0.858778092249938,0.8957415919226294,0,-0.23388070237444936,-0.5505395817676422,0.0827781770187434,17.09887415099359,-1.4885326557865628,-5.018536717239711,0.14374411629196407,0.3499856744499995,0.6352966651134752,0,-0.03188497839472859,-0.39312281346005035,0.32935285667059316,17.09887415099359,-0.17788877485041366,-5.347445719312609,0.8596268818268694,0.9867885681701555,0.9951887899820591,0,0.3358219482751217,-0.09623775377201932,0.7678816503222627,17.09887415099359,1.5664659636406795,-4.803379549096924,0.12440490839437157,0.40928931920936373,0.4966227049343457,0
A1L0T0,ILVBL_HUMAN,ILVBL,Acetolactate synthase-like protein,NA,15.873817924020598,16.974761991796992,17.813812054979813,NA,17.280051651134045,NA,NA,NA,16.792472738541527,17.30493999039658,NA,16.58580170290744,NA,16.53079197374318,NA,16.174280237933832,16.97157788812588,17.14302662835867,16.692885665723985,17.279110767967165,16.91954697770125,15.812085129998232,16.105559427188094,16.9495823530519,16.768998421330938,17.227431697736716,NA,16.83013479279431,16.802200514240244,16.21098403673248,NA,16.755286181995537,NA,NA,NA,NA,17.269619744775476,17.44688948539937,17.270189450530232,17.336175670196884,17.049827189180505,NA,17.683494164222783,17.05537985243761,17.145833848465433,16.82579255878239,16.966189514008445,16.98660986419212,17.373026794223577,NA,NA,17.112693769835513,17.128308034805865,16.170398526832905,17.712656181756547,17.382397566703,16.948104268486418,17.36004028905055,18.03579950137091,17.33427320129805,17.74037628623764,0.09926874014909615,-0.22027190511675399,0.4188093854149463,17.002960366915367,0.6257047933981471,-5.804678280184048,0.5346696862059298,0.7694468352909423,0.9397393147669506,0,-0.12679827574423186,-0.4692236018725774,0.21562705038411367,17.002960366915367,-0.7458140311112743,-5.279781939587198,0.45965852121046824,0.8857441477247706,0.9061443357730901,0,-0.2553587332778342,-0.6777893332972016,0.16707186674153318,17.002960366915367,-1.2175265067038141,-5.376742262243971,0.2297508090757802,0.46123558652194363,0.6868966672901371,0,-0.226067015893328,-0.6944272703460512,0.24229323855939516,17.002960366915367,-0.97216559674731,-5.01755315025174,0.3361656049199421,0.8572207820966459,0.7815725752859038,0,0.12856045753360235,-0.5417145984821534,0.7988355135493581,17.002960366915367,0.3863113174331161,-5.749478951030328,0.7010869193993784,0.8765646089787762,0.9553716732347998,0
A1L4K1,FSD2_HUMAN,FSD2,Fibronectin type III and SPRY domain-containing protein 2,17.798166524211798,17.695425008463943,16.933723513415575,18.17096137923975,17.54270784516632,17.904140725849963,17.90205199255325,17.27556540313581,17.912262973242036,17.8510137494528,16.318155673156802,18.458636402062087,17.988640809161446,17.436102623290466,17.637561320017376,17.41635583533702,17.965796917740438,17.593577008148362,17.913883463494372,17.76594695919176,17.87461968868427,18.15652748608642,17.337871453318012,17.962379933391915,17.66747386999077,18.02342035214532,18.033513548371147,17.424046467780492,18.004805629102368,17.641469776825467,18.070142576872488,18.861228582483516,18.14073590935503,18.662195086165926,NA,NA,NA,18.507054916669865,18.667902059314404,17.484134005185204,18.01791114018892,18.295359865061716,NA,18.117839872145144,18.426950451327084,17.779543544140488,18.098596385101573,18.33932251876421,18.18134170959704,18.502715861654146,NA,NA,18.87541039267372,18.861309086341837,18.5230351405751,17.974547173251214,18.244405404134596,18.08107511881991,18.567483011507065,18.12099929194125,18.12115557348306,17.613382843661757,0.020671948727866152,-0.2408274303757038,0.2821713278314361,17.97754610450793,0.15835972692232153,-6.026056011683421,0.8747430875832847,0.9491949374604944,0.99723739845565,0,0.1304381631459144,-0.11021788490001133,0.3710942111918401,17.97754610450793,1.0857801077213143,-5.165111210977864,0.2822286398205224,0.8356255788472711,0.8478859023664972,0,-0.6175188583136908,-0.9172844712810972,-0.3177532453462844,17.97754610450793,-4.126695267449048,0.995587217142595,1.2344266075845902e-4,0.0036998025647042364,0.0038583897789298354,-1,0.10976621441804824,-0.2456170417050217,0.46514947054111816,17.97754610450793,0.6187364646964267,-5.338925846469904,0.5385990302191395,0.9365563338641313,0.934333754092966,0,0.7479570214596052,0.29442632829773024,1.2014877146214802,17.97754610450793,3.3037254341082924,-1.2729879395064065,0.001666970709478784,0.05169100922996691,0.008358368576568222,1
A2RTX5,SYTC2_HUMAN,TARS3,"Threonine--tRNA ligase 2, cytoplasmic",NA,15.3317346301761,15.5708958981055,15.262977030019648,15.80225856825162,15.995234930889753,14.99548267483496,NA,15.32747627888525,15.805185549159392,14.576209411098835,15.601927827701672,15.744565974955728,15.944791030980088,16.02868516880555,15.122511935085337,15.69355997079538,15.323407590205496,16.0111349785675,15.89281471474012,15.613569981494171,15.856018064737516,15.045200867120483,15.299426745493076,15.721123196392623,15.723176977769894,15.272081794303798,15.18121196671113,15.331419278511184,15.154104273807157,NA,NA,16.405773379764263,NA,NA,NA,NA,14.858314543119585,14.847831070783458,15.357802130504233,NA,NA,NA,15.673673415518408,NA,NA,15.890556164849096,NA,15.245849011781017,15.855352030519883,NA,NA,15.244546487497376,15.501709304955693,NA,15.16415851278211,NA,15.39506615439685,NA,NA,NA,NA,-0.005151903984950579,-0.4316287460558764,0.42132493808597526,15.491720487901773,-0.024414986933220407,-5.678288574475689,0.980643004892345,0.9953864607481197,0.9998993018591703,0,-0.037630705098720796,-0.3122872636862827,0.2370258534888411,15.491720487901773,-0.27690868112440664,-5.626760813149894,0.78327637693625,0.9657053521271909,0.9908500776061179,0,0.06008969963450106,-0.38519472739959165,0.5053741266685938,15.491720487901773,0.2727386683363853,-5.947557246075115,0.7864574074486383,0.8873708181604997,0.9856691285660365,0,-0.03247880111377022,-0.5397447293978925,0.4747871271703521,15.491720487901773,-0.1294042339808021,-5.288858499697767,0.8976864042619279,0.9890077356336527,0.9965005546313814,0,-0.09772040473322186,-0.6944425600582925,0.4990017505918488,15.491720487901773,-0.3309765948832051,-5.824757612144272,0.7423900234701193,0.8950742039345121,0.971310579507667,0
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,NA,21.696757768135505,21.73328307903968,22.38715611454248,NA,22.452995334814194,NA,NA,21.528319652772108,21.472529198559563,20.93312223612995,NA,NA,21.837532278676477,21.74862717941294,20.869874167804426,22.055960401393214,21.793786902058343,21.42038009011491,21.46831226440555,21.714137954908367,21.536205194864124,21.411193072824087,20.81419518546483,22.057534915272154,NA,NA,20.837824535338257,21.440631326503254,21.422528647812022,NA,NA,21.355608486630377,NA,NA,NA,NA,21.357133512959447,NA,20.56819244713916,NA,NA,NA,NA,NA,NA,20.73659174902295,NA,NA,NA,NA,NA,21.077964683401348,21.517719634959395,NA,NA,NA,NA,NA,NA,NA,NA,0.033535892942627044,-0.5683212357496735,0.6353930216349276,21.47307492910568,0.11413956387774318,-5.392400235403021,0.9099418291196326,0.9643222824362504,0.9968400664639434,0,-0.289757973509154,-0.6067635351450524,0.027247588126744382,21.47307492910568,-1.8723552686137417,-4.104939806433606,0.07163757598911588,0.5814043861530881,0.465873429860447,0,0.6631112923320224,0.09124149641661561,1.2349810882474292,21.47307492910568,2.3752482541120514,-3.3817404837177882,0.024623384610730107,0.1188176019311421,0.08575995149813433,0,-0.32329386645178104,-1.003532449204797,0.3569447163012349,21.47307492910568,-0.9735448127836238,-4.794753148023911,0.3386201277924218,0.8572207820966459,0.7046265819125067,0,-0.9528692658411764,-1.6956810621313831,-0.2100574695509696,21.47307492910568,-2.6276908600327937,-2.8886578159640064,0.013793300079867713,0.13221685842323644,0.01687901071337134,-1
A5YM72,CRNS1_HUMAN,CARNS1,Carnosine synthase 1,19.072210964620325,NA,20.66874144178324,20.844994647285816,18.853387973229687,19.506507498179833,19.23533235483897,NA,NA,19.934901914918175,19.43827074662411,19.294946687375287,NA,20.78621362448105,19.458326521820336,20.571724441382667,20.247844379168757,20.58121340171188,20.010770290203222,20.07808288874651,20.647956044070735,20.6375201974375,18.88892570514935,18.839767892670288,20.84110966985124,20.551821081851188,20.69782975505162,19.642179735641765,19.53725933817744,19.97325735509126,NA,20.45757280932839,20.545409777936747,NA,19.24662131275369,19.8166976040687,20.81895409469131,21.109138916411354,20.57788106361546,NA,19.661861724923945,19.269425518105663,19.7801450337686,NA,19.66172545791474,19.988903572465063,19.980414364740337,20.97520227846027,20.75264566378679,20.81975565518062,20.443069959605584,22.163842827932022,20.37162959691887,21.309919393325863,NA,20.618158076009735,21.099568266598236,20.55648309318697,20.81042144904689,20.46203319483638,20.506841748800557,21.397607816647103,0.7758931287507416,0.358640773953666,1.1931454835478172,20.227226921177774,3.729752303060034,-0.14225872759439984,4.680152540644389e-4,0.018434600840649285,0.0026090212713488236,1,0.4530052054938096,0.02878203525200923,0.8772283757356101,20.227226921177774,2.1418334097773233,-3.6787676767425683,0.03682181932125971,0.49385466170560205,0.22409811877181945,0,-0.37380913886421396,-0.895806086387325,0.14818780865889702,20.227226921177774,-1.436345217566796,-5.2137072554743416,0.15678144058282523,0.36662736874752977,0.5002577049126462,0,-0.32288792325693194,-0.9179213893356963,0.27214554282183245,20.227226921177774,-1.0883968868237524,-4.9841745009018545,0.2813449863338346,0.8283637501963975,0.663996794391287,0,0.8268143443580236,0.009427129851436455,1.6442015588646108,20.227226921177774,2.0288831889619225,-4.067006040965665,0.047507278828633925,0.24927964942109446,0.08052418079486766,0
A6NCE7,MP3B2_HUMAN,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,NA,20.510977742208112,20.789145590518626,20.175346164698983,20.480232952002527,20.91935942238927,20.12414360087677,20.598731377717527,20.81135089992732,20.743325194116643,20.15093015751931,NA,21.033157103716825,20.92107289063489,20.897071805227117,20.892894444053795,20.906417240566025,20.193476323887623,NA,20.158817639916137,20.9209505041424,NA,20.07405960637478,20.84940959645029,20.70893370765274,20.841177067520288,NA,20.735928091163768,21.171817441625738,20.802387843517383,NA,NA,20.6663394861816,NA,NA,20.66979452909679,NA,NA,NA,NA,NA,21.58706512636058,NA,21.572545785829043,NA,NA,20.56765396194494,NA,20.643605471604264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.44396904311035357,-0.9800266616791471,0.09208857545843996,20.71348770224007,-1.6891592745857957,-4.261945281481758,0.10122575278252917,0.3478903892708151,0.36172623145899907,0,0.03337333834006628,-0.21125301977655406,0.27799969645668665,20.71348770224007,0.2782439868193888,-5.580057151835074,0.7826728909030982,0.9657053521271909,0.9918555300678872,0,-0.4844207700519654,-0.8958405841642206,-0.07300095593971012,20.71348770224007,-2.401413445902265,-3.3874349314793704,0.022517288701854002,0.11117584769732092,0.15919322414987078,0,0.47734238145041985,-0.11189426499228672,1.0665790278931264,20.71348770224007,1.6522266854222043,-4.255336232000531,0.10858472135023571,0.7316502711017316,0.3465225846858281,0,0.5177941083920317,-0.016864398132755087,1.0524526149168185,20.71348770224007,1.97519514567809,-4.097648795250842,0.05720956109755959,0.27517141858332445,0.22731315501456317,0
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,23.59863325945989,22.97351172536535,22.748716208752292,23.310835330223636,22.52395535568779,23.20806655113665,22.933907385686663,22.820763038004937,23.183725697735973,23.07916471286577,23.0937653667725,23.208141871201946,23.0987351415066,23.258801953472737,22.84005454986501,23.674444046404304,22.788454791606977,22.804420633569332,23.37696701839057,22.85479352117949,22.694656082649452,22.843796389806396,22.833175303170957,23.18627167446121,23.224012804147627,22.805692988363845,23.31757279737294,23.12608703252876,23.198448605104957,23.03384908167534,22.818530611905512,23.354548670867185,22.672640474590963,22.52497258340556,23.09149674995588,22.66522391747151,23.25077146755895,22.91283486136578,23.18702126619857,22.347618269511504,23.119015530221272,22.749274412204656,23.227873129946826,23.07743571886992,22.907907932527863,23.196779221922743,22.919215412181664,23.407479961790088,22.96360866173048,22.76034499805357,22.882931676483484,23.10269302528653,23.03204120118007,23.030314601935313,23.083848453673156,22.79838479540531,23.007365685934747,22.901901388355206,23.298138488530466,22.859621867953436,23.11561371909229,22.901895467269306,0.06486602077162829,-0.08534230774127932,0.2150743492845359,23.013109115186285,0.8632379795943886,-5.780154739240694,0.39133401445880456,0.6756839893930786,0.9409578809768834,0,-0.007875691820391495,-0.16164961166383388,0.14589822802305089,23.013109115186285,-0.10237957556669619,-5.687327157025534,0.918785831650894,0.9931438149913812,0.9993331338037998,0,0.11688345988850912,-0.06121726380280473,0.294984183579823,23.013109115186285,1.311881690445232,-5.502006638749279,0.19439728069442339,0.41492217985730484,0.8257710397081408,0,-0.07274171259201978,-0.2877044079106704,0.14222098272663086,23.013109115186285,-0.6764375672485131,-5.3505589104223255,0.5012788786061806,0.9313906895417592,0.9510060118100911,0,-0.12475915170890062,-0.40585113776934423,0.156332834351543,23.013109115186285,-0.887219840763628,-5.6941403773339525,0.37838961875096677,0.6710109239183811,0.8858170887549495,0
A6NNS2,DRS7C_HUMAN,DHRS7C,Dehydrogenase/reductase SDR family member 7C,21.33830905511786,21.830265425472795,21.67604259908391,21.2375619948295,21.773067906889576,21.285689928797375,22.002985004359427,21.653202866200132,21.82587508922559,21.516301423146196,20.899962772339617,21.931197194734583,21.327962974079124,21.818683856311026,21.45012143207004,21.77728862491459,21.080030597525916,21.684248264702543,20.876633170957835,21.563939767836185,21.195090457349135,21.61333232295545,21.318996284657366,21.54383983600396,20.88415274016089,21.45034572495044,21.94736477733113,22.209938094305567,21.368980788843356,21.08447318632671,21.809555431377756,22.278032910138528,21.381491344551552,22.256878093737985,20.933150267003036,22.082100301614137,22.33243951442262,21.965392391476897,21.964804452254985,21.530180543471413,20.773765683099253,21.86976566629446,22.04541100025291,21.7191958631195,21.90935668861401,22.685052079595685,21.544956637630957,22.093193306308947,20.57336776875462,22.133662757734403,21.39952242399094,21.733784392344766,21.573594627247047,21.737075594650673,22.35057454483766,21.564883383439273,21.78594625295333,21.975833359568337,20.89860430348734,21.93700057544993,21.533517973347436,22.23809556950633,-0.16496030126079475,-0.41778400493995765,0.08786340241836815,21.641549513931526,-1.3042743340053307,-5.325975488597277,0.1969617209789745,0.4928677417909162,0.7648935771637125,0,-0.1312383255890559,-0.39006346750348053,0.12758681632536872,21.641549513931526,-1.0135881305678949,-5.232506838647068,0.31471892395171347,0.8451704172281774,0.8592276348108866,0,-0.27005457564576574,-0.5698254674289592,0.029716316137427756,21.641549513931526,-1.8008161483151133,-4.782179303554243,0.07659620230313548,0.23793713616228454,0.49966054693702394,0,0.033721975671738846,-0.3280932799893115,0.3955372313327892,21.641549513931526,0.18630882735093637,-5.532593645371281,0.8528108920305005,0.9867885681701555,0.9946452609051846,0,0.13881625005670983,-0.3343047658943206,0.6119372660077402,21.641549513931526,0.5865099237310278,-5.905495973638315,0.559662530534146,0.7923897970569946,0.9225885592843012,0
