contrast,median_absLFC,ci_lower,ci_upper,boot_se,n_proteins
Training_Young,0.13464351261536223,0.12870331761322973,0.14117592201814944,0.0029245796024523437,2127
Training_Old,0.09247803259810894,0.08765953553681527,0.09837138179147333,0.002839428312276621,2137
Aging,0.1849553194576714,0.17594039756872348,0.19527652575433407,0.005378833722118754,2128
Interaction,0.12863602823532894,0.12150147160170022,0.13499581401599947,0.0034392836581471067,2126
