contrast,type,sig.PVal,sig.FDR,pval_thresh,lfc_thresh,p_adj_method,sig.Pi,sig.FDR.05,sig.FDR.10
Training_Young,up,310,140,0.1,0,BH,42,80,140
Training_Young,down,303,120,0.1,0,BH,56,55,120
Training_Young,nonsig,1500,1853,0.1,0,BH,2026,1978,1853
Training_Old,up,183,0,0.1,0,BH,8,0,0
Training_Old,down,147,0,0.1,0,BH,10,0,0
Training_Old,nonsig,1794,2124,0.1,0,BH,2106,2124,2124
Aging,up,375,203,0.1,0,BH,80,132,203
Aging,down,378,204,0.1,0,BH,116,144,204
Aging,nonsig,1362,1708,0.1,0,BH,1928,1839,1708
Interaction,up,172,1,0.1,0,BH,29,1,1
Interaction,down,119,0,0.1,0,BH,4,0,0
Interaction,nonsig,1822,2112,0.1,0,BH,2091,2112,2112
Reversal,up,301,59,0.1,0,BH,110,29,59
Reversal,down,266,71,0.1,0,BH,70,38,71
Reversal,nonsig,1548,1985,0.1,0,BH,1944,2048,1985
