contrast,n_subjects,within_cor,effective_sigma,min_detectable_d,min_detectable_logFC,power,alpha
Training_Young,16,0.27941864558867396,0.5763,0.6517,0.3756,0.8,0.1
Training_Old,15,0.27941864558867396,0.5763,0.6754,0.3893,0.8,0.1
Aging,15,NA,0.6789,0.9307,0.6319,0.8,0.1
Interaction,15,NA,0.6789,0.9307,0.6319,0.8,0.1
