"Contrast","FDR_full","FDR_reduced","Pi_full","Pi_reduced","Pearson_r","Spearman_rho"
"Training_Young",348,295,123,110,0.998324087991027,0.99732436652509
"Training_Old",28,15,26,25,0.999967680199305,0.999957207074531
"Aging",585,590,256,252,0.999730656252005,0.999679495214726
"Interaction",1,1,50,42,0.998490991547406,0.997044775040686
"Reversal",328,294,250,243,0.999816661208955,0.999722739999315
