test,statistic,p_value,interpretation
Kolmogorov-Smirnov,0.1812588736393756,1.4170133280696844e-30,Distributions differ significantly
Fligner-Killeen,215.12916772695263,1.0444541272374485e-48,Variances differ significantly (blunting evidence)
