pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,quadrant,pathway_label,ID,p.adjust,GeneRatio,geneID
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,4.26595926950103e-6,0.009261397574086736,2.6552878579542054,21,43,,Reactome,4.419960474308301,Exacerbated Up,Mitochondrial Protein Import,REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,0.009261397574086736,21/389,ATP5F1A/ATP5F1B/CHCHD2/CHCHD4/CYC1/HSCB/HSPA9/HSPD1/IDH3G/PITRM1/PMPCB/SLC25A12/SLC25A13/SLC25A4/TIMM13/TIMM21/TIMM44/TIMM8A/TIMM9/TOMM40/TOMM5
GOBP_MITOCHONDRIAL_TRANSPORT,1.0675295855807056e-5,0.011588033651478558,2.2800398042955465,26,62,,GO:BP,3.3624119987756353,Exacerbated Up,Mitochondrial Transport,GOBP_MITOCHONDRIAL_TRANSPORT,0.011588033651478558,26/389,AFG3L2/ATP5IF1/CHCHD4/HSP90AA1/HSPA4/HSPA9/HSPD1/LETM1/MTCH2/PMPCB/PPIF/SFXN1/SLC25A13/SLC25A20/SLC25A4/SLC25A5/STAT3/TIMM13/TIMM21/TIMM44/TIMM8A/TIMM9/TOMM40/TOMM5/VDAC2/VPS35
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,1.205283655982212e-4,0.02273236727039122,3.954194905351718,8,11,,GO:BP,12.059492563429572,Exacerbated Up,B Cell Receptor Signaling Pathway,GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.02273236727039122,8/389,GRB2/IGHA1/IGHG1/IGHG2/IGHG3/IGHM/IGKC/IGLC3
REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS,1.205283655982212e-4,0.02273236727039122,3.954194905351718,8,11,,Reactome,12.059492563429572,Exacerbated Up,Fcgr3a Mediated Il10 Synthesis,REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS,0.02273236727039122,8/389,AHCYL1/IGHG1/IGHG2/IGHV3-7/IGKV3-20/IGLC2/IGLC3/PRKACA
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE,7.869193319130427e-5,0.02273236727039122,3.7640893810559617,9,13,,GO:BP,10.196052631578947,Exacerbated Up,Antibacterial Humoral Response,GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE,0.02273236727039122,9/389,B2M/HLA-A/IGHA1/IGHG1/IGHG2/IGHG3/IGHM/IGKV3-20/TF
REACTOME_COMPLEMENT_CASCADE,7.869193319130427e-5,0.02273236727039122,3.7640893810559617,9,13,,Reactome,10.196052631578947,Exacerbated Up,Complement Cascade,REACTOME_COMPLEMENT_CASCADE,0.02273236727039122,9/389,CFB/CFH/IGHG1/IGHG2/IGHV3-7/IGKV3-20/IGLC2/IGLC3/SERPING1
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,4.369878568181362e-5,0.02273236727039122,3.07309712752878,13,23,,Reactome,5.932978723404255,Exacerbated Up,Cell Surface Interactions At The Vascular ...,REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,0.02273236727039122,13/389,ATP1B1/BSG/GRB2/IGHA1/IGHM/IGHV3-7/IGKV3-20/IGLC2/IGLC3/MIF/PPIA/PTPN11/SLC16A1
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,4.561455366432162e-5,0.02273236727039122,2.927625074154637,14,26,,Reactome,5.3324444444444445,Exacerbated Up,Fcgamma Receptor Fcgr Dependent Phagocytosis,REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,0.02273236727039122,14/389,ACTR2/ACTR3/AHCYL1/ARPC1B/ARPC5/CFL1/GRB2/HSP90AA1/IGHG1/IGHG2/IGHV3-7/IGKV3-20/IGLC2/IGLC3
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,6.291625971270828e-5,0.02273236727039122,2.5674807197943443,17,36,,GO:BP,4.105687606112054,Exacerbated Up,Adaptive Immune Response Based On Somatic ...,GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.02273236727039122,17/389,ANXA1/B2M/HLA-A/HLA-B/HSPD1/IGHA1/IGHG1/IGHG2/IGHG3/IGHV3-7/IGKC/IGLC2/IGLC3/OPA1/SERPING1/STAT3/STX7
GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,1.0533647380796924e-4,0.02273236727039122,2.0109518611120896,27,73,,GO:BP,2.7239971174633677,Exacerbated Up,Regulation Of Innate Immune Response,GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE,0.02273236727039122,27/389,AP1G1/APPL1/CD36/CFH/CLPB/DHX9/FLOT1/FLOT2/GRB2/HLA-A/HLA-B/HSP90AA1/HSPD1/LAMP1/NAGK/NEK7/NONO/PAK2/PARP1/PHB2/PPP2CA/PRKDC/PTPN11/SAMHD1/SERPING1/UFD1/XRCC6
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,2.4302033323529934e-4,0.04058439565029499,2.836705040795797,12,23,,Reactome,4.962623583313238,Exacerbated Up,Binding And Uptake Of Ligands By Scavenger...,REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,0.04058439565029499,12/389,CD36/FTH1/FTL/HBA1/HBB/HSP90AA1/HYOU1/IGHA1/IGHV3-7/IGKV3-20/IGLC2/IGLC3
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,1.2791535686857516e-6,0.0027770423976167667,3.6377708978328176,15,27,,Reactome,7.224025974025974,Exacerbated Down,Non Integrin Membrane Ecm Interactions,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,0.0027770423976167667,15/323,COL1A2/COL4A1/COL4A2/DAG1/DMD/DTNA/FN1/HSPG2/LAMB2/SGCD/SGCG/SNTB1/SNTB2/SSPN/UTRN
