gene,expanded_category,logFC_Training_Young,logFC_Training_Old,pi_score_Young,pi_score_Old,pi_score_Interaction,imputed
SLC20A2,Sig Young Down,-1.1463,-0.0392,0.005986,0.996876,0.052052,TRUE
SORBS1,Sig Young Down,-0.8063,-0.2996,0.047259,0.581984,0.453233,TRUE
PEBP4,Sig Young Down,-0.6064,-0.4403,0.040966,0.169072,0.90436,TRUE
H1-0,Sig Young Down,-0.7195,-0.2365,2.35e-4,0.61582,0.175926,FALSE
COL6A1,Sig Young Down,-0.7609,0.1194,0.029557,0.955377,0.051548,TRUE
CD81,Sig Young Down,-0.6933,-0.1561,0.027233,0.87766,0.272356,TRUE
TNNT1,Sig Young Down,-0.7547,0.087,0.037687,0.978183,0.082516,FALSE
UTP15,Sig Young Down,-0.7248,0.1131,0.037834,0.958372,0.063038,TRUE
H3-3A,Sig Young Down,-0.7906,-0.0448,0.01523,0.993983,0.124025,FALSE
TOR1AIP1,Sig Young Down,-0.6152,-0.21,0.03953,0.69293,0.427756,TRUE
TNNC1,Sig Young Down,-0.7281,0.0911,0.027977,0.972713,0.062537,FALSE
GNAS,Sig Young Down,-0.4918,-0.3092,0.003732,0.195403,0.760151,FALSE
TNNI1,Sig Young Down,-0.7107,0.0606,0.044369,0.988941,0.109169,FALSE
NDUFA3,Sig Young Down,-0.6511,-0.0926,0.001767,0.946872,0.086605,FALSE
MT-ND4,Sig Young Down,-0.5174,-0.2179,0.039173,0.697199,0.614208,FALSE
NFIC,Sig Young Down,-0.5819,-0.1288,0.006703,0.860146,0.176397,TRUE
UBE2I,Sig Young Down,-0.4831,-0.2245,0.044145,0.638507,0.675129,TRUE
MAOA,Sig Young Down,-0.5078,-0.1941,0.015495,0.699162,0.488931,FALSE
SNU13,Sig Young Down,-0.508,-0.1851,0.007561,0.65866,0.38591,TRUE
UBE2B,Sig Young Down,-0.6201,0.0347,0.023993,0.993236,0.052245,TRUE
RBM3,Sig Young Down,-0.6171,0.0331,0.046543,0.995817,0.126127,TRUE
MICU2,Sig Young Down,-0.549,-0.0824,0.0349,0.94485,0.195414,TRUE
COX7B,Sig Young Down,-0.601,-0.0304,0.019281,0.995799,0.137446,FALSE
NDUFS7,Sig Young Down,-0.564,0.0465,0.017172,0.988405,0.058651,FALSE
MGST3,Sig Young Down,-0.4589,-0.151,0.020239,0.791658,0.441442,FALSE
MAOB,Sig Young Down,-0.424,-0.1828,0.021961,0.646457,0.587188,FALSE
MT-CO3,Sig Young Down,-0.5282,-0.0733,0.038123,0.967698,0.25215,TRUE
NDUFB7,Sig Young Down,-0.5358,-0.0559,0.018655,0.981504,0.178561,FALSE
NDUFB6,Sig Young Down,-0.5514,0.0169,0.02056,0.998554,0.09116,FALSE
TMEM143,Sig Young Down,-0.5107,0.0536,0.030975,0.982578,0.072531,TRUE
NDUFV2,Sig Young Down,-0.4563,0.0308,0.025808,0.993305,0.085267,FALSE
EMD,Sig Young Down,-0.4248,0.0462,0.027478,0.980473,0.05819,TRUE
WBP2,Sig Young Down,-0.3821,-0.0342,0.031453,0.987466,0.184592,TRUE
ACP1,Sig Young Down,-0.3593,0.0365,0.038833,0.986402,0.093638,FALSE
SERPINH1,Sig Young Up,0.9777,0.8207,0.0028,0.096339,0.957251,TRUE
S100A6,Sig Young Up,1.2584,0.532,2.1e-5,0.290197,0.20058,TRUE
S100A4,Sig Young Up,1.0817,0.4382,2e-6,0.282877,0.134252,FALSE
JPT2,Sig Young Up,0.9033,0.4141,0.004031,0.220308,0.385651,TRUE
CARNS1,Sig Young Up,0.7943,0.4533,0.0015790000000000001,0.221116,0.624251,TRUE
GSN,Sig Young Up,0.5256,0.4735,0.043257,0.101214,0.990261,FALSE
EZR,Sig Young Up,0.7289,0.197,0.001803,0.788352,0.195504,TRUE
HSPB1,Sig Young Up,0.5302,0.3896,0.020597,0.185261,0.909808,FALSE
PSME2,Sig Young Up,0.6118,0.2853,0.005705,0.417823,0.505152,TRUE
HSPB6,Sig Young Up,0.6109,0.2797,0.006786,0.514381,0.535397,FALSE
TUBB6,Sig Young Up,0.613,0.2375,0.007431,0.640315,0.433314,TRUE
ANXA1,Sig Young Up,0.5916,0.2384,0.029272,0.700533,0.562779,FALSE
GLRX3,Sig Young Up,0.5574,0.2165,6.89e-4,0.530884,0.301821,FALSE
DYNC1LI1,Sig Young Up,0.6541,0.104,7.03e-4,0.914913,0.055384,TRUE
