contrast,method,top50_overlap_with_cycloess,jaccard
Training_Young,cycloess,50,1
Training_Young,quantile,29,0.408
Training_Young,median,28,0.389
Training_Young,mean,28,0.389
Training_Young,vsn,37,0.587
Training_Young,rlr,46,0.852
Training_Old,cycloess,50,1
Training_Old,quantile,30,0.429
Training_Old,median,29,0.408
Training_Old,mean,30,0.429
Training_Old,vsn,41,0.695
Training_Old,rlr,47,0.887
Aging,cycloess,50,1
Aging,quantile,20,0.25
Aging,median,24,0.316
Aging,mean,24,0.316
Aging,vsn,33,0.493
Aging,rlr,43,0.754
Interaction,cycloess,50,1
Interaction,quantile,22,0.282
Interaction,median,24,0.316
Interaction,mean,23,0.299
Interaction,vsn,39,0.639
Interaction,rlr,46,0.852
