uniprot_id,contrast,max_rank_shift,min_rank,max_rank,sensitive,gene
O75369,Training_Young,316,175,491,TRUE,FLNB
P06753,Training_Young,339,223,562,TRUE,TPM3
P10606,Training_Young,913,143,1056,TRUE,COX5B
P18206,Training_Young,519,156,675,TRUE,VCL
Q04837,Training_Young,177,102,279,TRUE,SSBP1
Q9NR28,Training_Young,1788,280,2068,TRUE,DIABLO
Q7Z4G1,Training_Young,240,281,521,TRUE,COMMD6
Q9UN86,Training_Young,598,282,880,TRUE,G3BP2
P50993,Training_Young,345,183,528,TRUE,ATP1A2
Q8WXH0,Training_Young,591,215,806,TRUE,SYNE2
O60237,Training_Young,215,212,427,TRUE,PPP1R12B
Q14BN4,Training_Young,162,162,324,TRUE,SLMAP
P11233,Training_Young,1792,287,2079,TRUE,RALA
Q86UE4,Training_Young,92,264,356,TRUE,MTDH
Q04828,Training_Young,225,114,339,TRUE,AKR1C1
P31943,Training_Young,1818,290,2108,TRUE,HNRNPH1
O14957,Training_Young,1166,291,1457,TRUE,UQCR11
Q16775,Training_Young,1581,147,1728,TRUE,HAGH
P30048,Training_Young,1168,293,1461,TRUE,PRDX3
P78527,Training_Young,458,294,752,TRUE,PRKDC
Q9HDC9,Training_Young,295,36,331,TRUE,APMAP
Q03252,Training_Young,1005,296,1301,TRUE,LMNB2
O43678,Training_Young,1081,227,1308,TRUE,NDUFA2
O75396,Training_Young,187,122,309,TRUE,SEC22B
O75431,Training_Young,1671,299,1970,TRUE,MTX2
Q8TD30,Training_Young,120,180,300,TRUE,GPT2
Q15631,Training_Young,1407,301,1708,TRUE,TSN
Q9UPN7,Training_Young,780,302,1082,TRUE,PPP6R1
O75208,Training_Young,1598,157,1755,TRUE,COQ9
P45880,Training_Young,1461,150,1611,TRUE,VDAC2
Q13085,Training_Young,402,118,520,TRUE,ACACA
P12883,Training_Young,502,208,710,TRUE,MYH7
Q9H4A4,Training_Young,1801,307,2108,TRUE,RNPEP
P62191,Training_Young,94,214,308,TRUE,PSMC1
Q15386,Training_Young,328,240,568,TRUE,UBE3C
O00186,Training_Young,1679,310,1989,TRUE,STXBP3
P11055,Training_Young,305,273,578,TRUE,MYH3
Q9HD33,Training_Young,1483,303,1786,TRUE,MRPL47
O95299,Training_Young,1178,236,1414,TRUE,NDUFA10
Q13564,Training_Young,1503,263,1766,TRUE,NAE1
O43181,Training_Young,892,247,1139,TRUE,NDUFS4
Q9H0N5,Training_Young,1825,249,2074,TRUE,PCBD2
P13073,Training_Young,1117,149,1266,TRUE,COX4I1
P02511,Training_Young,541,203,744,TRUE,CRYAB
O95182,Training_Young,953,295,1248,TRUE,NDUFA7
P42677,Training_Young,283,37,320,TRUE,RPS27
P02794,Training_Young,341,234,575,TRUE,FTH1
Q9BQ69,Training_Young,1631,168,1799,TRUE,MACROD1
P13807,Training_Young,404,240,644,TRUE,GYS1
Q7Z6Z7,Training_Young,292,65,357,TRUE,HUWE1
P57105,Training_Young,1769,325,2094,TRUE,SYNJ2BP
Q6UWP2,Training_Young,293,326,619,TRUE,DHRS11
Q9NX14,Training_Young,1258,289,1547,TRUE,NDUFB11
P61978,Training_Young,1726,328,2054,TRUE,HNRNPK
Q16181,Training_Young,182,152,334,TRUE,SEPTIN7
Q13203,Training_Young,141,189,330,TRUE,MYBPH
P27824,Training_Young,63,285,348,TRUE,CANX
O00629,Training_Young,208,228,436,TRUE,KPNA4
Q9UNE7,Training_Young,241,114,355,TRUE,STUB1
P00488,Training_Young,171,163,334,TRUE,F13A1
Q04760,Training_Young,1582,109,1691,TRUE,GLO1
Q96CM8,Training_Young,1737,336,2073,TRUE,ACSF2
Q15582,Training_Young,877,241,1118,TRUE,TGFBI
O43837,Training_Young,200,174,374,TRUE,IDH3B
Q08357,Training_Young,191,339,530,TRUE,SLC20A2
P24298,Training_Young,1115,335,1450,TRUE,GPT
P22626,Training_Young,1657,341,1998,TRUE,HNRNPA2B1
O15427,Training_Young,841,342,1183,TRUE,SLC16A3
P15880,Training_Young,168,175,343,TRUE,RPS2
Q9UI30,Training_Young,297,337,634,TRUE,TRMT112
