data_type,contrast,FDR_threshold,logFC_threshold,n_DEP
Imputed,Training_Young,0.01,0,82
Imputed,Training_Young,0.01,0.26,76
Imputed,Training_Young,0.01,0.58,27
Imputed,Training_Young,0.01,1,10
Imputed,Training_Young,0.05,0,277
Imputed,Training_Young,0.05,0.26,234
Imputed,Training_Young,0.05,0.58,48
Imputed,Training_Young,0.05,1,14
Imputed,Training_Young,0.1,0,434
Imputed,Training_Young,0.1,0.26,324
Imputed,Training_Young,0.1,0.58,59
Imputed,Training_Young,0.1,1,17
Imputed,Training_Old,0.01,0,0
Imputed,Training_Old,0.01,0.26,0
Imputed,Training_Old,0.01,0.58,0
Imputed,Training_Old,0.01,1,0
Imputed,Training_Old,0.05,0,4
Imputed,Training_Old,0.05,0.26,4
Imputed,Training_Old,0.05,0.58,2
Imputed,Training_Old,0.05,1,0
Imputed,Training_Old,0.1,0,4
Imputed,Training_Old,0.1,0.26,4
Imputed,Training_Old,0.1,0.58,2
Imputed,Training_Old,0.1,1,0
Imputed,Aging,0.01,0,231
Imputed,Aging,0.01,0.26,231
Imputed,Aging,0.01,0.58,135
Imputed,Aging,0.01,1,38
Imputed,Aging,0.05,0,439
Imputed,Aging,0.05,0.26,423
Imputed,Aging,0.05,0.58,175
Imputed,Aging,0.05,1,44
Imputed,Aging,0.1,0,572
Imputed,Aging,0.1,0.26,519
Imputed,Aging,0.1,0.58,188
Imputed,Aging,0.1,1,46
Imputed,Interaction,0.01,0,0
Imputed,Interaction,0.01,0.26,0
Imputed,Interaction,0.01,0.58,0
Imputed,Interaction,0.01,1,0
Imputed,Interaction,0.05,0,0
Imputed,Interaction,0.05,0.26,0
Imputed,Interaction,0.05,0.58,0
Imputed,Interaction,0.05,1,0
Imputed,Interaction,0.1,0,0
Imputed,Interaction,0.1,0.26,0
Imputed,Interaction,0.1,0.58,0
Imputed,Interaction,0.1,1,0
Non-imputed,Training_Young,0.01,0,40
Non-imputed,Training_Young,0.01,0.26,38
Non-imputed,Training_Young,0.01,0.58,19
Non-imputed,Training_Young,0.01,1,6
Non-imputed,Training_Young,0.05,0,179
Non-imputed,Training_Young,0.05,0.26,152
Non-imputed,Training_Young,0.05,0.58,43
Non-imputed,Training_Young,0.05,1,12
Non-imputed,Training_Young,0.1,0,308
Non-imputed,Training_Young,0.1,0.26,239
Non-imputed,Training_Young,0.1,0.58,63
Non-imputed,Training_Young,0.1,1,16
Non-imputed,Training_Old,0.01,0,0
Non-imputed,Training_Old,0.01,0.26,0
Non-imputed,Training_Old,0.01,0.58,0
Non-imputed,Training_Old,0.01,1,0
Non-imputed,Training_Old,0.05,0,0
Non-imputed,Training_Old,0.05,0.26,0
Non-imputed,Training_Old,0.05,0.58,0
Non-imputed,Training_Old,0.05,1,0
Non-imputed,Training_Old,0.1,0,0
Non-imputed,Training_Old,0.1,0.26,0
Non-imputed,Training_Old,0.1,0.58,0
Non-imputed,Training_Old,0.1,1,0
Non-imputed,Aging,0.01,0,119
Non-imputed,Aging,0.01,0.26,119
Non-imputed,Aging,0.01,0.58,73
Non-imputed,Aging,0.01,1,22
Non-imputed,Aging,0.05,0,284
Non-imputed,Aging,0.05,0.26,272
Non-imputed,Aging,0.05,0.58,122
Non-imputed,Aging,0.05,1,33
Non-imputed,Aging,0.1,0,405
Non-imputed,Aging,0.1,0.26,369
Non-imputed,Aging,0.1,0.58,143
Non-imputed,Aging,0.1,1,37
Non-imputed,Interaction,0.01,0,0
Non-imputed,Interaction,0.01,0.26,0
Non-imputed,Interaction,0.01,0.58,0
Non-imputed,Interaction,0.01,1,0
Non-imputed,Interaction,0.05,0,1
Non-imputed,Interaction,0.05,0.26,1
Non-imputed,Interaction,0.05,0.58,1
Non-imputed,Interaction,0.05,1,0
Non-imputed,Interaction,0.1,0,1
Non-imputed,Interaction,0.1,0.26,1
Non-imputed,Interaction,0.1,0.58,1
Non-imputed,Interaction,0.1,1,0
