n,effect_size_log2FC,cohen_d,power
15,0.1,0.270164840994723,0.11026995964308695
15,0.15000000000000002,0.40524726149208457,0.1885016566357387
15,0.2,0.540329681989446,0.29813091348369625
15,0.25,0.6754121024868075,0.4311160373323547
15,0.30000000000000004,0.8104945229841691,0.572685460865401
15,0.35,0.9455769434815304,0.7053994688331726
15,0.4,1.080659363978892,0.8150600226937359
15,0.45000000000000007,1.2157417844762537,0.894952483728881
15,0.5,1.350824204973615,0.9462799780635314
15,0.55,1.4859066254709765,0.9753625403284981
15,0.6,1.6209890459683378,0.9898969651281891
15,0.65,1.7560714664656996,0.9963044531243295
15,0.7000000000000001,1.891153886963061,0.9987964268642603
15,0.75,2.0262363074604224,0.9996515029057466
15,0.8,2.161318727957784,0.9999103901117125
15,0.85,2.2964011484551454,0.9999795571313047
15,0.9,2.431483568952507,0.9999958653809585
15,0.9500000000000001,2.5665659894498685,0.9999992590681731
15,1,2.70164840994723,0.9999998824125039
15,1.05,2.8367308304445915,0.9999999834798188
15,1.1,2.971813250941953,0.9999999979459967
15,1.1500000000000001,3.1068956714393146,0.9999999997740534
15,1.2000000000000002,3.2419780919366765,0.9999999999780148
15,1.2500000000000002,3.377060512434038,0.9999999999981083
15,1.3000000000000003,3.5121429329313996,0.9999999999998561
15,1.35,3.6472253534287606,0.9999999999999903
15,1.4000000000000001,3.782307773926122,0.9999999999999994
15,1.4500000000000002,3.9173901944234837,1
15,1.5000000000000002,4.052472614920846,1
15,1.5500000000000003,4.187555035418207,1
15,1.6,4.322637455915568,1
15,1.6500000000000001,4.45771987641293,1
15,1.7000000000000002,4.592802296910291,1
15,1.7500000000000002,4.727884717407653,1
15,1.8000000000000003,4.862967137905015,1
15,1.85,4.998049558402376,1
15,1.9000000000000001,5.133131978899737,1
15,1.9500000000000002,5.268214399397099,1
15,2,5.40329681989446,1
16,0.1,0.270164840994723,0.11469200883157082
16,0.15000000000000002,0.40524726149208457,0.19867512030975065
16,0.2,0.540329681989446,0.31573446389399173
16,0.25,0.6754121024868075,0.45593692130942753
16,0.30000000000000004,0.8104945229841691,0.602072637869326
16,0.35,0.9455769434815304,0.7350358684466267
16,0.4,1.080659363978892,0.840724611088258
16,0.45000000000000007,1.2157417844762537,0.9141359864417292
16,0.5,1.350824204973615,0.9587010720823161
16,0.55,1.4859066254709765,0.982347625335378
16,0.6,1.6209890459683378,0.9933155196639266
16,0.65,1.7560714664656996,0.9977628522093035
16,0.7000000000000001,1.891153886963061,0.9993394980540102
16,0.75,2.0262363074604224,0.9998282212788344
16,0.8,2.161318727957784,0.9999606923592362
16,0.85,2.2964011484551454,0.9999920932823588
16,0.9,2.431483568952507,0.9999986029678288
16,0.9500000000000001,2.5665659894498685,0.9999997833046448
16,1,2.70164840994723,0.9999999705070958
16,1.05,2.8367308304445915,0.9999999964792009
16,1.1,2.971813250941953,0.9999999996314618
16,1.1500000000000001,3.1068956714393146,0.9999999999661838
16,1.2000000000000002,3.2419780919366765,0.9999999999972807
16,1.2500000000000002,3.377060512434038,0.9999999999998084
16,1.3000000000000003,3.5121429329313996,0.9999999999999882
16,1.35,3.6472253534287606,0.9999999999999993
16,1.4000000000000001,3.782307773926122,1
16,1.4500000000000002,3.9173901944234837,1
16,1.5000000000000002,4.052472614920846,1
16,1.5500000000000003,4.187555035418207,1
16,1.6,4.322637455915568,1
16,1.6500000000000001,4.45771987641293,1
16,1.7000000000000002,4.592802296910291,1
16,1.7500000000000002,4.727884717407653,1
16,1.8000000000000003,4.862967137905015,1
16,1.85,4.998049558402376,1
16,1.9000000000000001,5.133131978899737,1
16,1.9500000000000002,5.268214399397099,1
16,2,5.40329681989446,1
