rank,index,confect,effect,AveExpr,name,contrast,gene
1,699,0.226,1.2397964438862985,22.29679393411318,P30837,Training_Young,ALDH1B1
2,1715,0.224,1.2092042607531894,22.843784214116045,Q99584,Training_Young,S100A13
3,641,0.217,1.08168039991493,23.6338634349084,P26447,Training_Young,S100A4
4,547,-0.212,-1.803362082194763,20.88678623926204,P17948,Training_Young,FLT1
5,2118,0.212,0.6823911191440217,16.839368509588507,Q9Y6G9,Training_Young,DYNC1LI1
6,1457,-0.212,-1.6781588249157053,21.18941313513037,Q6PK04,Training_Young,CCDC137
7,1380,0.212,0.7405391580113729,17.49132516684488,Q16658,Training_Young,FSCN1
8,353,0.20600000000000002,1.3091736968635246,24.793947820659742,P06703,Training_Young,S100A6
9,388,-0.20600000000000002,-1.1376877110563548,17.58565486358542,P08311,Training_Young,CTSG
10,2022,0.20600000000000002,0.682116256153126,20.040321759633112,Q9UL46,Training_Young,PSME2
11,366,-0.193,-0.7194981183673903,22.63287152469481,P07305,Training_Young,H1-0
12,1877,-0.193,-0.5461182641020574,14.683211734774973,Q9NP77,Training_Young,SSU72
13,636,0.189,0.49489887823030543,24.14097291286292,P26038,Training_Young,MSN
14,289,-0.187,-1.4702035656866919,19.841311365364966,P02452,Training_Young,COL1A1
15,188,0.187,0.557352485492185,18.917943866032836,O76003,Training_Young,GLRX3
16,1908,0.186,0.6285372821384954,23.215475227987717,Q9NSD9,Training_Young,FARSB
17,644,0.186,0.516446085754211,21.90491334544869,P26640,Training_Young,VARS1
18,1295,0.186,0.44492402306027756,21.353978593683202,Q14204,Training_Young,DYNC1H1
19,1257,-0.17300000000000001,-0.7759996381374705,20.87241407826547,Q13508,Training_Young,ART3
20,874,0.17200000000000001,0.6330547674272609,20.10667961455985,P50454,Training_Young,SERPINH1
21,7,0.168,0.7934163002117138,20.121445573172686,A5YM72,Training_Young,CARNS1
22,420,0.168,0.9016163189316586,22.31303151875704,P09936,Training_Young,UCHL1
23,1906,-0.168,-0.7783898225724002,19.389199006492287,Q9NS69,Training_Young,TOMM22
24,1199,-0.161,-1.449178070039462,20.99794376753903,Q08357,Training_Young,SLC20A2
25,1083,0.159,0.46063951158248884,21.610874982225067,P63172,Training_Young,DYNLT1
26,960,-0.154,-0.5121556965149274,17.56449894821399,P55769,Training_Young,SNU13
27,202,-0.154,-0.6511458604177065,22.560687075996523,O95167,Training_Young,NDUFA3
28,1416,-0.152,-0.49178676690598877,19.64348364770249,Q5JWF2,Training_Young,GNAS
29,291,-0.145,-1.2561227840316285,21.294581022261344,P02462,Training_Young,COL4A1
30,261,0.145,0.5489382334668242,18.159913494023076,P00492,Training_Young,HPRT1
31,774,0.145,0.4038375104035197,24.85171782162576,P40227,Training_Young,CCT6A
32,1191,-0.145,-0.7513914683244032,17.740882965863676,Q07507,Training_Young,DPT
33,1209,-0.138,-0.4620664459676256,18.740741614895438,Q10589,Training_Young,BST2
34,1184,0.128,0.3948178288382742,21.599951295308166,Q06323,Training_Young,PSME1
