gene,pattern,sort_key,logFC_Training_Young,logFC_Training_Old,pi_score_Young,pi_score_Old,pi_score_Interaction,imputed
S100A13,Shared,1.1115,1.1115,0.6609,6e-6,0.045714,0.479453,FALSE
MYBPH,Shared,1.1059,1.1059,1.7207,0.007654,9e-6,0.528236,TRUE
FSCN1,Shared,0.7074,0.7074,0.6479,0.002088,0.003281,0.986872,TRUE
HPRT1,Shared,0.5118,0.5118,0.5566,0.028383,0.005644,0.991192,TRUE
MYLK,Shared,-0.7665,-0.7665,-0.7396,0.004589,0.006135,0.998051,TRUE
ADH1B,Shared,-0.8158,-0.8158,-0.6933,0.006515,0.037392,0.962991,TRUE
NECTIN1,Blunted,2.5396,2.5396,-0.3402,1.5e-4,0.796194,3e-5,TRUE
GPT2,Blunted,1.8669,1.8669,-0.5924,5.3e-4,0.061142,1e-6,TRUE
ALDH1B1,Blunted,1.2088,1.2088,0.4062,1e-6,0.408722,0.056598,TRUE
S100A6,Blunted,1.174,1.174,0.5317,1.09e-4,0.283079,0.29821,TRUE
S100A4,Blunted,1.015,1.015,0.4377,1.6e-5,0.28138,0.215574,FALSE
SERPINH1,Blunted,0.907,0.907,0.8176,0.021063,0.156129,0.988749,TRUE
JPT2,Blunted,0.9004,0.9004,0.4136,0.004673,0.222365,0.3949,TRUE
SLC25A46,Blunted,0.8788,0.8788,-0.0513,5.7e-4,0.979817,8.97e-4,TRUE
UCHL1,Blunted,0.8543,0.8543,0.1235,9.33e-4,0.936634,0.067136,FALSE
COPS7B,Blunted,0.8259,0.8259,-0.4562,0.039744,0.219019,6.11e-4,TRUE
CARNS1,Blunted,0.7759,0.7759,0.453,0.002609,0.224098,0.663997,TRUE
F13A1,Blunted,0.7356,0.7356,0.1249,0.030564,0.915202,0.188979,TRUE
AKR1C3,Blunted,0.6494,0.6494,0.0682,0.009213,0.977537,0.130086,FALSE
EZR,Blunted,0.6414,0.6414,0.197,0.012496,0.792464,0.362074,TRUE
DYNC1LI1,Blunted,0.6381,0.6381,0.1033,0.001317,0.91689,0.071514,TRUE
HSPB6,Blunted,0.619,0.619,0.2803,0.006613,0.517303,0.523766,FALSE
PSME2,Blunted,0.6117,0.6117,0.2855,0.006311,0.418107,0.509552,TRUE
FARSB,Blunted,0.6058,0.6058,0.1228,0.001145,0.880147,0.112209,FALSE
ANXA1,Blunted,0.5767,0.5767,0.2386,0.039463,0.702115,0.600079,FALSE
S100A11,Blunted,0.5494,0.5494,0.1925,0.019694,0.743811,0.451131,TRUE
DCTN5,Blunted,0.544,0.544,-0.1373,0.030388,0.848099,0.014906,TRUE
GLRX3,Blunted,0.5413,0.5413,0.216,0.001384,0.537461,0.351829,FALSE
VARS1,Blunted,0.525,0.525,0.1543,7.82e-4,0.727948,0.181949,FALSE
HSPB1,Blunted,0.524,0.524,0.3907,0.024629,0.183945,0.92016,FALSE
RPS11,Blunted,0.4916,0.4916,0.1915,0.002607,0.581514,0.369885,TRUE
TUBB6,Blunted,0.4764,0.4764,0.2367,0.041123,0.579712,0.706356,TRUE
MSN,Blunted,0.4705,0.4705,0.2478,0.001705,0.299026,0.571751,FALSE
HSPB7,Blunted,0.4577,0.4577,0.2023,0.044546,0.676398,0.652187,FALSE
ABCE1,Blunted,0.4528,0.4528,0.1935,0.028358,0.665408,0.598276,FALSE
TARS1,Blunted,0.4435,0.4435,0.1533,0.049039,0.764236,0.502177,TRUE
FARSA,Blunted,0.4429,0.4429,0.0448,0.04272,0.98567,0.245461,TRUE
DYNLT1,Blunted,0.4339,0.4339,0.2539,0.009194,0.264528,0.723366,TRUE
USP9X,Blunted,0.416,0.416,0.1192,0.017888,0.767045,0.296478,TRUE
DYNC1H1,Blunted,0.408,0.408,0.1197,0.004029,0.783538,0.268332,FALSE
CBR1,Blunted,0.4004,0.4004,0.2351,0.030897,0.420306,0.796524,FALSE
CALU,Blunted,0.3894,0.3894,0.3073,0.046739,0.199013,0.956496,FALSE
CCT6A,Blunted,0.3878,0.3878,0.1656,0.014546,0.622932,0.549759,FALSE
PSME1,Blunted,0.3726,0.3726,0.1161,0.021515,0.818575,0.424141,FALSE
DYNC1I2,Blunted,0.3643,0.3643,0.0893,0.027081,0.898209,0.361881,FALSE
ACP1,Blunted,-0.3586,-0.3586,0.0364,0.04267,0.986575,0.098711,FALSE
WBP2,Blunted,-0.382,-0.382,-0.0344,0.033764,0.987326,0.189124,TRUE
MAOB,Blunted,-0.4089,-0.4089,-0.1829,0.031355,0.644192,0.634058,FALSE
MGST3,Blunted,-0.4094,-0.4094,-0.1511,0.045878,0.779695,0.568995,FALSE
EMD,Blunted,-0.4257,-0.4257,0.0457,0.028974,0.980992,0.059887,TRUE
NDUFV2,Blunted,-0.4516,-0.4516,0.0309,0.030325,0.993298,0.092982,FALSE
GNAS,Blunted,-0.4809,-0.4809,-0.3094,0.005278,0.193136,0.789216,FALSE
TMEM143,Blunted,-0.4931,-0.4931,0.0541,0.039111,0.982133,0.085491,TRUE
UBE2I,Blunted,-0.5001,-0.5001,-0.2243,0.031438,0.638183,0.630168,FALSE
NFIC,Blunted,-0.5049,-0.5049,-0.129,0.045076,0.873969,0.380755,TRUE
MAOA,Blunted,-0.5057,-0.5057,-0.1941,0.017322,0.69977,0.497731,FALSE
NDUFA6,Blunted,-0.5088,-0.5088,0.1307,0.028377,0.882919,0.025736,FALSE
SNU13,Blunted,-0.5089,-0.5089,-0.1857,0.008102,0.656987,0.388773,TRUE
MT-ND4,Blunted,-0.5116,-0.5116,-0.2174,0.046171,0.700618,0.631068,FALSE
MT-CO3,Blunted,-0.5278,-0.5278,-0.0733,0.040729,0.967706,0.256441,TRUE
NDUFS7,Blunted,-0.5399,-0.5399,0.0465,0.030042,0.988581,0.083067,FALSE
MICU2,Blunted,-0.5505,-0.5505,-0.0831,0.036368,0.943938,0.198281,TRUE
COX7B,Blunted,-0.5736,-0.5736,-0.03,0.035657,0.995928,0.180909,TRUE
NDUFA3,Blunted,-0.6028,-0.6028,-0.0925,0.007026,0.94842,0.154233,FALSE
PEBP4,Blunted,-0.6077,-0.6077,-0.4411,0.042873,0.168634,0.904631,TRUE
TOR1AIP1,Blunted,-0.6167,-0.6167,-0.2102,0.0412,0.693209,0.42945,TRUE
RBM3,Blunted,-0.6177,-0.6177,0.0327,0.049079,0.995938,0.128879,TRUE
UBE2B,Blunted,-0.6203,-0.6203,0.0344,0.02555,0.993382,0.054117,TRUE
H1-0,Blunted,-0.6743,-0.6743,-0.2363,0.001481,0.635632,0.283042,FALSE
FTH1,Blunted,-0.6764,-0.6764,0.121,0.03501,0.945272,0.052891,FALSE
COL6A1,Blunted,-0.7339,-0.7339,0.1198,0.044137,0.955547,0.068074,TRUE
TOMM22,Blunted,-0.747,-0.747,0.1648,0.002147,0.862622,0.002855,FALSE
NID1,Blunted,-0.7482,-0.7482,0.1152,0.021734,0.950402,0.033896,TRUE
ART3,Blunted,-0.7703,-0.7703,-0.431,7.92e-4,0.18961,0.574026,TRUE
MYL3,Blunted,-0.8047,-0.8047,0.0476,0.028902,0.994036,0.091848,FALSE
PLEKHF1,Blunted,-0.8074,-0.8074,0.046,2.48e-4,0.982567,6.12e-4,TRUE
SORBS1,Blunted,-0.8092,-0.8092,-0.3001,0.048709,0.581649,0.453986,TRUE
LAMC1,Blunted,-0.8156,-0.8156,0.0149,0.005905,0.999262,0.040183,TRUE
CD81,Blunted,-0.8205,-0.8205,-0.1565,0.005432,0.874663,0.11739,TRUE
FBN1,Blunted,-0.8338,-0.8338,-0.3804,0.003677,0.442766,0.471828,TRUE
MYL2,Blunted,-0.8502,-0.8502,0.219,0.010853,0.845849,0.009435,FALSE
FAM185A,Blunted,-0.8719,-0.8719,-0.3236,0.030424,0.485238,0.391869,TRUE
UBN2,Blunted,-0.8972,-0.8972,0.2348,0.036521,0.872458,0.031511,FALSE
XIRP1,Blunted,-0.9143,-0.9143,0.4334,5.11e-4,0.328903,8e-6,FALSE
