gene,pathway,go_slim_id,expanded_category,logFC_Training_Young,logFC_Training_Old
GPT2,Amino Acid & Cofactor Metabolism,GO:0006520,Interaction,1.872,-0.592
ALDH1B1,Carbohydrate & Energy Metabolism,GO:0005975,Interaction,1.2555,0.4064
MT-CO1,Carbohydrate & Energy Metabolism,GO:0006091,Interaction,-0.4355,0.2848
COL1A2,Circulatory System,GO:0003013,Interaction,-1.359,-0.0832
MYH7,Circulatory System,GO:0003013,Interaction,-0.6942,0.2547
MYL2,Circulatory System,GO:0003013,Interaction,-0.9503,0.2178
MYL3,Circulatory System,GO:0003013,Interaction,-0.8904,0.0464
IFT81,Cytoskeleton & Motility,GO:0044782,Interaction,-1.2969,-0.0873
XIRP1,Cytoskeleton & Motility,GO:0007010,Interaction,-0.8717,0.4336
CAV2,DNA & Cell Cycle,GO:0140014,Interaction,-0.9482,0.3589
RPA2,DNA & Cell Cycle,GO:0032200,Interaction,-0.9583,0.0235
DCTN5,Development,GO:0048856,Interaction,0.5467,-0.1371
ACTN1,ECM & Adhesion,GO:0034330,Interaction,-0.9384,0.3834
COL1A1,ECM & Adhesion,GO:0030198,Interaction,-1.197,0.0278
COL3A1,ECM & Adhesion,GO:0042060,Interaction,-1.1658,0.3477
COL4A1,ECM & Adhesion,GO:0034330,Interaction,-1.436,-0.0795
COL4A2,ECM & Adhesion,GO:0030198,Interaction,-1.0712,-0.0443
LAMC1,ECM & Adhesion,GO:0034330,Interaction,-0.8487,0.0146
NID1,ECM & Adhesion,GO:0030198,Interaction,-0.7647,0.1157
CTSG,Immune & Inflammation,GO:0098542,Interaction,-2.0953,0.1002
PREX1,Immune & Inflammation,GO:0002376,Interaction,-0.5831,0.4448
DHRS11,Lipid Metabolism,GO:0006629,Interaction,-0.5953,0.1795
NDUFA6,Mitochondria & Energy,GO:0007005,Interaction,-0.5195,0.131
ACTA1,Muscle & Contractile,GO:0003012,Interaction,-0.4891,0.3426
TPM3,Muscle & Contractile,GO:0003012,Interaction,-0.7694,0.1787
CCDC137,Other,OTHER,Interaction,-1.6782,-0.2164
CHDH,Other,OTHER,Interaction,-0.4576,0.3927
CILP,Other,OTHER,Interaction,-0.7967,0.2433
MSRB3,Other,OTHER,Interaction,-1.2083,-0.0131
TES,Other,OTHER,Interaction,-0.596,0.3646
COPS7B,Protein Homeostasis,GO:0065003,Interaction,0.828,-0.4555
