gene,pathway,go_slim_id,pattern,logFC_Training_Young,logFC_Training_Old
HPRT1,Amino Acid & Cofactor Metabolism,GO:0055086,Shared,0.5135,0.5572
FSCN1,Cytoskeleton & Motility,GO:0007163,Shared,0.7082,0.6486
MYLK,ECM & Adhesion,GO:0042060,Shared,-0.7664,-0.7396
ADH1B,Lipid Metabolism,GO:0006629,Shared,-0.8157,-0.6936
MYBPH,Muscle & Contractile,GO:0003012,Shared,1.106,1.7206
S100A13,Transport,GO:0016192,Shared,1.1116,0.6608
CARNS1,Amino Acid & Cofactor Metabolism,GO:0006520,Blunted,0.7763,0.453
EZR,Amino Acid & Cofactor Metabolism,GO:0007586,Blunted,0.6415,0.1968
GPT2,Amino Acid & Cofactor Metabolism,GO:0006520,Blunted,1.8694,-0.5923
MGST3,Amino Acid & Cofactor Metabolism,GO:0098754,Blunted,-0.4093,-0.151
ALDH1B1,Carbohydrate & Energy Metabolism,GO:0005975,Blunted,1.209,0.4061
COL6A1,Carbohydrate & Energy Metabolism,GO:0005975,Blunted,-0.7338,0.1196
COX7B,Carbohydrate & Energy Metabolism,GO:0006091,Blunted,-0.5736,-0.0301
FBN1,Carbohydrate & Energy Metabolism,GO:0005975,Blunted,-0.8339,-0.3808
MT-CO3,Carbohydrate & Energy Metabolism,GO:0006091,Blunted,-0.5277,-0.0734
NDUFV2,Carbohydrate & Energy Metabolism,GO:0006091,Blunted,-0.4516,0.031
SORBS1,Carbohydrate & Energy Metabolism,GO:0005975,Blunted,-0.8067,-0.2993
COL1A2,Circulatory System,GO:0003013,Blunted,-1.2313,-0.0825
GLRX3,Circulatory System,GO:0003013,Blunted,0.5421,0.2165
HSPB7,Circulatory System,GO:0003013,Blunted,0.4577,0.2023
MYL2,Circulatory System,GO:0003013,Blunted,-0.8504,0.2189
MYL3,Circulatory System,GO:0003013,Blunted,-0.8049,0.0475
DYNC1I2,Cytoskeleton & Motility,GO:0007018,Blunted,0.3647,0.0893
DYNLT1,Cytoskeleton & Motility,GO:0007163,Blunted,0.4338,0.2536
IFT81,Cytoskeleton & Motility,GO:0044782,Blunted,-1.4634,-0.0882
MSN,Cytoskeleton & Motility,GO:0007163,Blunted,0.4706,0.2479
XIRP1,Cytoskeleton & Motility,GO:0007010,Blunted,-0.9142,0.4334
CCT6A,DNA & Cell Cycle,GO:0032200,Blunted,0.3879,0.1657
DYNC1H1,DNA & Cell Cycle,GO:0007059,Blunted,0.4082,0.1194
DYNC1LI1,DNA & Cell Cycle,GO:0140014,Blunted,0.6395,0.1039
H1-0,DNA & Cell Cycle,GO:0006310,Blunted,-0.6743,-0.2364
NFIC,DNA & Cell Cycle,GO:0006260,Blunted,-0.5034,-0.1285
RPA2,DNA & Cell Cycle,GO:0032200,Blunted,-0.9585,0.0234
S100A11,DNA & Cell Cycle,GO:0006260,Blunted,0.5498,0.1931
TUBB6,DNA & Cell Cycle,GO:0000278,Blunted,0.4773,0.2373
UBE2B,DNA & Cell Cycle,GO:0006281,Blunted,-0.6202,0.0349
DCTN5,Development,GO:0048856,Blunted,0.5456,-0.1373
MAOB,Development,GO:0048856,Blunted,-0.4089,-0.1829
S100A4,Development,GO:0030154,Blunted,1.015,0.4378
COL1A1,ECM & Adhesion,GO:0030198,Blunted,-1.0773,0.0285
COL3A1,ECM & Adhesion,GO:0042060,Blunted,-1.1308,0.3481
COL4A1,ECM & Adhesion,GO:0034330,Blunted,-1.397,-0.0793
COL4A2,ECM & Adhesion,GO:0030198,Blunted,-0.979,-0.0439
LAMC1,ECM & Adhesion,GO:0034330,Blunted,-0.8153,0.0149
NID1,ECM & Adhesion,GO:0030198,Blunted,-0.7469,0.1158
ANXA1,Immune & Inflammation,GO:0098542,Blunted,0.5769,0.2383
CD81,Immune & Inflammation,GO:0006954,Blunted,-0.8207,-0.1559
CTSG,Immune & Inflammation,GO:0098542,Blunted,-2.0956,0.0999
FTH1,Immune & Inflammation,GO:0002376,Blunted,-0.6764,0.1211
GNAS,Immune & Inflammation,GO:0006954,Blunted,-0.4804,-0.3091
AKR1C3,Lipid Metabolism,GO:0042180,Blunted,0.6496,0.0678
CBR1,Lipid Metabolism,GO:0042180,Blunted,0.4005,0.2351
MT-ND4,Mitochondria & Energy,GO:0007005,Blunted,-0.5114,-0.2178
NDUFA3,Mitochondria & Energy,GO:0007005,Blunted,-0.6027,-0.0926
NDUFA6,Mitochondria & Energy,GO:0007005,Blunted,-0.5088,0.1307
NDUFS7,Mitochondria & Energy,GO:0007005,Blunted,-0.5399,0.0464
USP9X,Mitochondria & Energy,GO:0007031,Blunted,0.4166,0.1199
MYH3,Muscle & Contractile,GO:0003012,Blunted,-1.2198,-0.408
ABCE1,Other,OTHER,Blunted,0.4536,0.194
ART3,Other,OTHER,Blunted,-0.7701,-0.4313
CALU,Other,OTHER,Blunted,0.3896,0.3069
CCDC137,Other,OTHER,Blunted,-1.6349,-0.2159
FAM185A,Other,OTHER,Blunted,-0.8715,-0.3235
JPT2,Other,OTHER,Blunted,0.9024,0.4138
